주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,775","1,853","1,915","1,762","2,071"
영업이익,25,62,52,35,43
영업이익(발표기준),25,62,52,35,43
세전계속사업이익,57,89,81,61,90
당기순이익,50,74,68,53,76
  당기순이익(지배),50,74,68,53,76
  당기순이익(비지배),,,,,
자산총계,"1,961","2,054","2,016","2,063","2,417"
부채총계,660,693,598,600,879
자본총계,"1,301","1,361","1,419","1,463","1,538"
  자본총계(지배),"1,301","1,361","1,419","1,463","1,538"
  자본총계(비지배),,,,,
자본금,72,72,72,72,72
영업활동현금흐름,38,103,145,127,-131
투자활동현금흐름,-104,-93,-46,-132,11
재무활동현금흐름,53,7,-91,-8,212
CAPEX,66,58,66,20,31
FCF,-27,45,79,107,-162
이자발생부채,415,426,339,336,552
영업이익률,1.40,3.37,2.72,2.01,2.07
순이익률,2.83,3.99,3.53,3.00,3.68
ROE(%),3.91,5.55,4.86,3.67,5.08
ROA(%),2.60,3.68,3.32,2.59,3.40
부채비율,50.77,50.90,42.14,41.02,57.12
자본유보율,"1,697.65","1,784.21","1,862.62","1,926.47","2,019.97"
EPS(원),348,513,469,367,529
PER(배),15.05,8.38,9.70,13.32,8.94
BPS(원),"9,032","9,454","9,851","10,157","10,683"
PBR(배),0.58,0.45,0.46,0.48,0.44
현금DPS(원),40,40,40,40,40
현금배당수익률,0.76,0.93,0.88,0.82,0.85
현금배당성향(%),11.49,7.80,8.52,10.91,7.56
발행주식수(보통주),"14,400,000","14,400,000","14,400,000","14,400,000","14,400,000"
