주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,992","3,177","3,118","3,329","4,669"
영업이익,-4,-82,-122,-40,183
영업이익(발표기준),-4,-82,-122,-40,183
세전계속사업이익,-26,-101,-782,-94,169
당기순이익,-18,-104,-767,-88,157
  당기순이익(지배),-18,-104,-767,-88,157
  당기순이익(비지배),,,,,
자산총계,"3,343","3,561","2,893","2,749","3,479"
부채총계,"1,391","1,693","1,758","1,630","1,811"
자본총계,"1,951","1,868","1,134","1,119","1,669"
  자본총계(지배),"1,951","1,868","1,134","1,119","1,669"
  자본총계(비지배),,,,,
자본금,348,348,351,419,613
영업활동현금흐름,-79,-43,33,18,-281
투자활동현금흐름,-105,-220,-68,-17,-47
재무활동현금흐름,162,336,55,-93,434
CAPEX,95,214,79,9,75
FCF,-174,-257,-46,8,-355
이자발생부채,"1,172","1,482","1,532","1,397","1,442"
영업이익률,-0.15,-2.58,-3.91,-1.21,3.91
순이익률,-0.61,-3.28,-24.61,-2.66,3.36
ROE(%),-0.93,-5.45,-51.10,-7.85,11.25
ROA(%),-0.56,-3.02,-23.77,-3.13,5.03
부채비율,71.31,90.64,155.00,145.73,108.51
자본유보율,459.49,435.19,221.93,166.72,172.14
EPS(원),-25,-142,"-1,040",-119,153
PER(배),N/A,N/A,N/A,N/A,12.96
BPS(원),"2,656","2,542","1,532","1,265","1,361"
PBR(배),0.40,0.33,0.45,0.47,1.46
현금DPS(원),14,0,0,0,0
현금배당수익률,1.32,0.00,0.00,0.00,0.00
현금배당성향(%),-56.96,0.00,0.00,0.00,
발행주식수(보통주),"73,464,084","73,464,084","74,050,483","88,425,629","122,631,721"
