주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,450","1,755","1,684","1,713","1,911"
영업이익,90,275,212,125,179
영업이익(발표기준),90,275,212,125,179
세전계속사업이익,65,232,167,100,152
당기순이익,63,223,160,101,149
  당기순이익(지배),63,223,160,101,149
  당기순이익(비지배),,,,,
자산총계,"2,800","2,977","3,288","3,227","3,592"
부채총계,"1,498","1,438","1,615","1,455","1,697"
자본총계,"1,302","1,539","1,673","1,772","1,895"
  자본총계(지배),"1,302","1,539","1,673","1,772","1,895"
  자본총계(비지배),,,,,
자본금,225,225,225,225,225
영업활동현금흐름,163,351,305,219,366
투자활동현금흐름,-96,-206,-385,-80,-471
재무활동현금흐름,-75,-75,93,-104,88
CAPEX,94,193,295,272,466
FCF,69,157,10,-53,-101
이자발생부채,975,887,"1,059",961,"1,108"
영업이익률,6.24,15.66,12.59,7.31,9.38
순이익률,4.37,12.72,9.52,5.92,7.79
ROE(%),5.06,15.71,,5.89,8.12
ROA(%),2.26,7.73,,3.11,4.37
부채비율,115.05,93.42,96.51,82.10,89.52
자본유보율,195.35,288.29,348.07,374.22,428.60
EPS(원),141,497,357,226,332
PER(배),18.75,5.01,6.89,14.68,15.56
BPS(원),"3,107","3,583","3,895","4,014","4,293"
PBR(배),0.85,0.69,0.63,0.83,1.20
현금DPS(원),25,50,75,50,50
현금배당수익률,0.95,2.01,3.05,1.51,0.97
현금배당성향(%),16.53,9.62,20.10,21.76,14.82
발행주식수(보통주),"44,918,407","44,918,407","44,918,407","44,918,407","44,918,407"
