주요재무정보,"2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"10,892","18,867","22,773","26,459"
영업이익,"3,227","5,588","6,833","7,951"
영업이익(발표기준),"3,227",,,
세전계속사업이익,"3,225","5,558","6,828","8,093"
당기순이익,"2,319","4,124","5,064","5,986"
  당기순이익(지배),"2,319","4,111","5,028","5,990"
  당기순이익(비지배),,,,
자산총계,"11,465","15,128","19,508","22,946"
부채총계,"5,991","6,110","6,444","5,767"
자본총계,"5,474","8,817","12,908","17,080"
  자본총계(지배),"5,474","8,795","12,817","16,812"
  자본총계(비지배),,,,
자본금,38,39,39,39
영업활동현금흐름,"2,915","3,237","4,503","5,099"
투자활동현금흐름,"-5,675",-445,-729,"-1,227"
재무활동현금흐름,"1,584","-1,482","-1,258","-1,286"
CAPEX,120,81,115,140
FCF,"2,795","3,235","4,394","4,608"
이자발생부채,"2,709",,,
영업이익률,29.63,29.62,30.00,30.05
순이익률,21.29,21.86,22.24,22.63
ROE(%),,57.61,46.53,40.43
ROA(%),,31.01,29.24,28.20
부채비율,109.43,69.30,49.93,33.76
자본유보율,"14,254.25",,,
EPS(원),"9,094","10,731","13,127","15,636"
PER(배),20.78,11.46,9.37,7.87
BPS(원),"14,307","23,035","33,570","44,032"
PBR(배),13.21,5.34,3.66,2.79
현금DPS(원),"1,100",543,602,"1,187"
현금배당수익률,0.58,0.44,0.49,0.96
현금배당성향(%),18.15,5.06,4.58,7.59
발행주식수(보통주),"38,307,075",,,
