주요재무정보,"2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"2,630","4,693","6,038","8,166","12,443","16,457"
영업이익,806,"1,252",892,829,"2,673","4,225"
영업이익(발표기준),806,"1,252",892,,,
세전계속사업이익,766,"1,291","1,116","1,067","2,740","4,232"
당기순이익,637,882,954,805,"2,133","3,289"
  당기순이익(지배),637,882,954,828,"2,133","3,289"
  당기순이익(비지배),,,,,,
자산총계,"7,802","19,916","31,845","38,503","46,604","56,266"
부채총계,"3,861","7,834","9,683","15,504","21,401","27,614"
자본총계,"3,942","12,083","22,162","22,999","25,203","28,652"
  자본총계(지배),"3,942","12,083","22,162","23,017","25,287","28,652"
  자본총계(비지배),,,,,,
자본금,300,627,713,710,710,710
영업활동현금흐름,884,"1,161","1,094","2,170","4,203","6,190"
투자활동현금흐름,"-1,340","-3,745","-11,925","-6,614","-9,197","-9,728"
재무활동현금흐름,-3,"4,412","11,110","4,919","5,069","4,012"
CAPEX,648,"5,733","6,010","8,497","10,026","9,496"
FCF,235,"-4,572","-4,916","-6,525","-5,897","-4,122"
이자발생부채,"3,506","5,179","7,685",,,
영업이익률,30.63,26.68,14.77,10.15,21.48,25.67
순이익률,24.21,18.79,15.79,9.85,17.14,19.98
ROE(%),,11.00,5.57,3.66,8.83,12.20
ROA(%),,6.36,3.68,2.29,5.01,6.39
부채비율,97.95,64.84,43.69,67.41,84.92,96.38
자본유보율,"1,213.88","1,864.26","3,006.86",,,
EPS(원),"2,818","1,521","1,393","1,161","2,991","4,613"
PER(배),,,120.58,100.78,39.12,25.36
BPS(원),"13,139","19,258","31,084","32,283","35,467","40,187"
PBR(배),0.00,0.00,5.40,3.62,3.30,2.91
현금DPS(원),0,0,,0,0,0
현금배당수익률,,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,,,,
발행주식수(보통주),"30,000,000","62,741,592","71,297,592",,,
