주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,128,"11,200","10,875","16,704","18,863","22,230","24,979","27,646"
영업이익,-404,"3,003","3,593","7,739","6,396","8,616","9,411","10,352"
영업이익(발표기준),-404,"3,003","3,593","7,739","6,396",,,
세전계속사업이익,-32,"3,608","3,618","6,668","7,504","9,255","10,075","11,018"
당기순이익,-43,"2,510","2,789","5,563","5,199","6,920","7,568","8,196"
  당기순이익(지배),-43,"2,510","2,789","5,563","5,199","6,920","7,568","8,196"
  당기순이익(비지배),,,,,0,,,
자산총계,"1,063","6,191","9,901","17,191","56,351","65,067","73,196","82,240"
부채총계,"1,051","6,413","4,057","5,050","10,269","10,199","10,724","11,116"
자본총계,12,-222,"5,844","12,141","46,082","54,867","62,471","71,124"
  자본총계(지배),12,-222,"5,844","12,141","46,081","55,182","62,893","71,607"
  자본총계(비지배),,,,,1,,,
자본금,36,37,40,43,49,50,50,50
영업활동현금흐름,-316,"1,582",619,"6,490","7,139","5,905","8,459","8,319"
투자활동현금흐름,-41,"-1,102",-528,-8,"-11,997","-3,448","-3,244","-3,066"
재무활동현금흐름,420,223,149,-271,"27,362",54,240,358
CAPEX,43,223,163,259,613,769,850,929
FCF,-359,"1,358",456,"6,231","6,526","4,555","6,998","6,733"
이자발생부채,771,"2,491",954,882,"3,705",,,
영업이익률,-315.60,26.81,33.04,46.33,33.91,38.76,37.68,37.45
순이익률,-33.56,22.41,25.64,33.30,27.56,31.13,30.30,29.65
ROE(%),122.75,,99.21,61.86,17.86,13.67,12.82,12.19
ROA(%),-5.41,,34.66,41.07,14.14,11.40,10.95,10.55
부채비율,"8,585.59","-2,882.87",69.41,41.60,22.28,18.59,17.17,15.63
자본유보율,-328.17,191.91,"11,591.73","24,347.29","89,793.21",,,
EPS(원),-173,"8,185","7,198","13,710","11,442","14,105","15,422","16,703"
PER(배),,,,,40.20,17.97,16.44,15.18
BPS(원),47,-589,"14,528","28,377","98,465","117,648","134,086","152,665"
PBR(배),0.00,0.00,0.00,0.00,4.67,2.15,1.89,1.66
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,,,,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"23,795,425","37,277,825","40,227,490","42,785,185","48,967,045",,,
