주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,350,336,"1,832","1,315","1,258"
영업이익,67,46,174,-141,19
영업이익(발표기준),67,46,174,-141,19
세전계속사업이익,40,41,66,-177,-193
당기순이익,38,93,129,-154,-138
  당기순이익(지배),38,93,129,-154,-138
  당기순이익(비지배),,,,,
자산총계,"2,331","2,636","4,818","4,479","4,332"
부채총계,"1,014",996,948,852,"1,943"
자본총계,"1,317","1,640","3,870","3,626","2,389"
  자본총계(지배),"1,317","1,640","3,870","3,626","2,389"
  자본총계(비지배),,,,,
자본금,905,905,"1,418","1,418","1,418"
영업활동현금흐름,83,58,183,13,190
투자활동현금흐름,-166,9,"-1,806",-52,-19
재무활동현금흐름,80,-30,"1,809",-163,-124
CAPEX,4,30,47,25,20
FCF,79,28,135,-11,170
이자발생부채,630,600,397,382,"1,463"
영업이익률,19.09,13.63,9.52,-10.71,1.54
순이익률,10.73,27.68,7.02,-11.72,-10.98
ROE(%),2.89,6.29,4.67,-4.11,-4.59
ROA(%),1.66,3.74,3.45,-3.32,-3.14
부채비율,76.98,60.73,24.50,23.50,81.36
자본유보율,16.53,26.70,61.24,42.38,26.62
EPS(원),42,103,95,-109,-97
PER(배),41.78,24.25,56.29,N/A,N/A
BPS(원),"1,455","1,812","2,736","2,564","1,689"
PBR(배),1.19,1.37,1.95,1.24,1.59
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"90,509,897","90,509,897","90,509,897","103,139,897","141,806,193"
