주요재무정보,"2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"27,927","42,165","36,702","33,639","32,409","31,222","22,149"
영업이익,"3,179","5,515","5,857","2,734","2,438","2,791","1,401"
영업이익(발표기준),"3,179","5,515","5,857","2,734",,,
세전계속사업이익,"3,248","5,589","3,476","2,944","2,390","2,770","1,320"
당기순이익,"2,299","4,137","2,202","1,763","1,737","2,000",978
  당기순이익(지배),"2,299","4,137","2,202","1,765","1,736","1,994",972
  당기순이익(비지배),,,,-3,,,
자산총계,"48,634","44,096","61,161","65,664","63,250","59,700","59,050"
부채총계,"30,190","21,778","33,731","36,811","32,990","27,855","26,150"
자본총계,"18,444","22,317","27,430","28,853","30,260","31,845","32,900"
  자본총계(지배),"18,444","22,317","27,430","28,774","30,220","31,790","32,790"
  자본총계(비지배),,,,78,,,
자본금,"2,197","2,197","3,295","3,295","3,300","3,300","3,300"
영업활동현금흐름,"4,546","-1,200","-2,589",304,"2,630","1,925","1,600"
투자활동현금흐름,"-2,489","-2,378","-10,128","-1,495","2,415","3,945","1,150"
재무활동현금흐름,283,"-1,759","14,423",-585,20,15,-410
CAPEX,59,50,46,171,165,165,0
FCF,"4,488","-1,250","-2,635",133,200,"-1,950",
이자발생부채,"7,264","6,191","17,949","18,021",,,
영업이익률,11.38,13.08,15.96,8.13,7.52,8.94,6.33
순이익률,8.23,9.81,6.00,5.24,5.36,6.41,4.42
ROE(%),,20.30,8.85,6.28,5.89,6.43,3.01
ROA(%),,8.92,4.18,2.78,2.70,3.25,1.65
부채비율,163.69,97.58,122.97,127.58,109.02,87.47,79.48
자본유보율,739.87,916.87,733.14,776.48,,,
EPS(원),"6,848","8,239","3,596","2,679","2,635","3,025","1,475"
PER(배),6.53,2.89,7.26,8.55,5.03,4.38,8.98
BPS(원),"36,740","44,456","41,626","43,665","45,859","48,241","49,759"
PBR(배),1.22,0.53,0.63,0.52,0.29,0.27,0.27
현금DPS(원),438,438,600,600,600,600,600
현금배당수익률,0.98,1.84,2.30,2.62,4.53,4.53,4.53
현금배당성향(%),9.56,5.31,17.96,22.40,22.77,19.83,40.68
발행주식수(보통주),"50,209,989","50,209,989","65,907,330","65,907,330",,,
