주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,491","8,117","8,457","8,495","9,300","10,428","11,832","13,287"
영업이익,53,390,411,388,400,391,526,622
영업이익(발표기준),53,390,411,388,400,,,
세전계속사업이익,29,346,458,381,443,369,526,624
당기순이익,24,234,530,299,347,283,405,479
  당기순이익(지배),19,263,546,299,347,307,424,500
  당기순이익(비지배),6,-29,-16,,,,,
자산총계,"5,827","7,039","6,967","6,495","7,501","7,798","8,291","8,853"
부채총계,"3,651","3,374","3,063","2,362","3,169","3,259","3,433","3,598"
자본총계,"2,176","3,665","3,904","4,134","4,332","4,538","4,858","5,255"
  자본총계(지배),"1,968","3,488","3,904","4,134","4,332","4,611","4,961","5,394"
  자본총계(비지배),208,,,0,1,,,
자본금,500,714,770,770,770,770,770,770
영업활동현금흐름,-102,"1,073","1,174",-142,873,736,892,909
투자활동현금흐름,14,-771,-435,-231,"-1,233",-837,-548,-572
재무활동현금흐름,-65,570,-875,-148,854,-133,-153,-152
CAPEX,61,281,269,653,373,226,244,266
FCF,-163,792,906,-795,500,511,673,647
이자발생부채,"1,264",620,61,142,"1,273",,,
영업이익률,3.53,4.80,4.86,4.56,4.30,3.75,4.45,4.68
순이익률,1.64,2.88,6.27,3.52,3.73,2.72,3.42,3.61
ROE(%),,9.65,14.77,7.43,8.19,6.87,8.85,9.65
ROA(%),,3.63,7.57,4.44,4.95,3.70,5.04,5.59
부채비율,167.78,92.06,78.45,57.13,73.14,71.81,70.66,68.47
자본유보율,291.62,423.97,493.55,523.66,548.96,,,
EPS(원),"1,139","2,205","3,679","1,940","2,251","1,996","2,751","3,246"
PER(배),,16.06,11.21,20.69,16.06,15.58,11.31,9.58
BPS(원),"19,679","24,419","25,805","27,321","28,633","30,477","32,788","35,653"
PBR(배),0.00,1.45,1.60,1.47,1.26,1.02,0.95,0.87
현금DPS(원),0,650,700,700,700,700,700,700
현금배당수익률,,1.84,1.70,1.74,1.94,2.25,2.25,2.25
현금배당성향(%),0.00,35.28,19.40,35.45,30.56,35.08,25.45,21.57
발행주식수(보통주),"10,000,000","14,286,000","15,396,331","15,396,331","15,396,331",,,
