주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"14,496","19,404","17,711","18,113","18,060","20,113","21,678","23,278"
영업이익,624,"-1,006","-1,567",727,97,"1,098","1,313","1,498"
영업이익(발표기준),624,"-1,006","-1,567",727,97,,,
세전계속사업이익,224,"-2,164","-3,336",-535,-404,983,"1,170","1,393"
당기순이익,143,"-1,789","-2,643",-402,-337,770,907,"1,080"
  당기순이익(지배),143,"-1,789","-2,643",-402,-337,770,907,"1,080"
  당기순이익(비지배),,0,0,0,,,,
자산총계,"20,946","23,261","22,565","22,726","22,150","23,115","24,546","26,595"
부채총계,"10,545","14,748","15,563","15,934","15,687","15,908","16,468","17,510"
자본총계,"10,401","8,513","7,002","6,792","6,462","7,207","8,078","9,083"
  자본총계(지배),"10,398","8,510","7,000","6,792","6,462","7,211","8,048","9,083"
  자본총계(비지배),3,,3,,,,,
자본금,510,"1,018","1,802","1,802","1,802","1,800","1,800","1,800"
영업활동현금흐름,-44,-40,575,"2,045","1,098","1,164","1,295","1,450"
투자활동현금흐름,-716,"-1,247","-2,062","1,390",-424,-613,-605,-789
재무활동현금흐름,"1,086","2,619",-358,-73,"-2,409",-528,-129,222
CAPEX,382,543,"1,467",568,277,568,538,543
FCF,-427,-583,-891,"1,477",821,680,965,"1,469"
이자발생부채,"5,176","9,067","7,817","7,805","5,546",,,
영업이익률,4.31,-5.18,-8.85,4.01,0.54,5.46,6.05,6.44
순이익률,0.99,-9.22,-14.92,-2.22,-1.87,3.83,4.18,4.64
ROE(%),,-18.92,-34.08,-5.84,-5.08,11.27,11.89,12.62
ROA(%),,-8.09,-11.54,-1.78,-1.50,3.40,3.81,4.23
부채비율,101.38,173.24,222.25,234.62,242.76,220.74,203.86,192.77
자본유보율,"1,844.25",688.55,262.89,244.25,222.98,,,
EPS(원),958,"-7,353","-10,684","-1,117",-935,"2,137","2,517","2,997"
PER(배),51.53,N/A,N/A,N/A,N/A,11.44,9.72,8.16
BPS(원),"42,829","35,053","19,447","18,870","17,954","20,035","22,359","25,236"
PBR(배),1.15,0.55,0.59,0.87,1.11,1.22,1.09,0.97
현금DPS(원),0,0,,,,80,100,125
현금배당수익률,0.00,0.00,,,,0.33,0.41,0.51
현금배당성향(%),0.00,0.00,0.00,0.00,,3.74,3.97,4.17
발행주식수(보통주),"24,332,386","24,332,386","36,047,135","36,047,135","36,047,135",,,
