주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,824,919,865,878,844
영업이익,10,-18,-75,-37,-53
영업이익(발표기준),10,-18,-75,-37,-53
세전계속사업이익,-6,-67,-88,-108,-44
당기순이익,-2,-57,-84,-141,-43
  당기순이익(지배),-2,-57,-84,-141,-43
  당기순이익(비지배),,,,,
자산총계,"1,242","1,402","1,317","1,257","1,046"
부채총계,599,827,616,708,581
자본총계,643,575,701,549,464
  자본총계(지배),643,575,701,549,464
  자본총계(비지배),,,,,
자본금,248,248,261,261,261
영업활동현금흐름,16,17,-83,50,-28
투자활동현금흐름,7,-191,0,-56,-97
재무활동현금흐름,-10,155,10,-33,12
CAPEX,26,19,13,67,20
FCF,-10,-3,-96,-17,-48
이자발생부채,312,427,277,264,293
영업이익률,1.16,-1.97,-8.70,-4.18,-6.28
순이익률,-0.24,-6.25,-9.69,-16.04,-5.11
ROE(%),-0.33,-9.44,-13.15,-22.52,-8.51
ROA(%),-0.16,-4.35,-6.17,-10.94,-3.74
부채비율,93.22,143.88,87.92,128.79,125.20
자본유보율,171.40,143.99,180.07,129.37,108.23
EPS(원),-9,-232,-328,-540,-165
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"2,884","2,579","2,970","2,344","2,008"
PBR(배),1.72,5.80,5.40,5.31,4.17
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"24,756,574","24,756,574","26,070,748","26,100,970","26,100,970"
