주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"9,603","10,314","11,134","10,554","11,530","12,374","13,253","14,386"
영업이익,390,276,447,170,889,"1,087","1,304","1,507"
영업이익(발표기준),390,276,447,170,889,,,
세전계속사업이익,361,-6,233,136,199,952,"1,187","1,392"
당기순이익,354,-154,289,241,303,642,796,966
  당기순이익(지배),316,-152,220,128,247,533,651,879
  당기순이익(비지배),39,-3,69,114,56,,,
자산총계,"12,135","12,078","12,457","13,669","14,152","14,422","15,074","16,392"
부채총계,"5,820","6,000","6,097","6,717","7,128","6,901","6,871","7,404"
자본총계,"6,315","6,078","6,359","6,952","7,024","7,544","8,251","9,094"
  자본총계(지배),"5,194","4,941","5,193","5,510","5,736","6,082","6,656","7,618"
  자본총계(비지배),"1,121",,"1,166","1,443","1,288",,,
자본금,290,290,290,290,290,290,290,290
영업활동현금흐름,"1,039",475,576,"1,010",400,797,989,"1,209"
투자활동현금흐름,-730,-686,-856,"-1,272",-877,-628,-626,-806
재무활동현금흐름,-167,-48,-57,666,502,-195,-149,-39
CAPEX,691,570,223,265,291,245,281,365
FCF,349,-95,353,745,109,735,865,"1,190"
이자발생부채,"3,851","3,868","3,929","4,457","4,640",,,
영업이익률,4.06,2.68,4.01,1.61,7.71,8.78,9.84,10.48
순이익률,3.69,-1.49,2.59,2.29,2.62,5.19,6.00,6.71
ROE(%),6.20,-2.99,4.34,2.38,4.39,9.02,10.23,12.32
ROA(%),3.00,-1.27,2.35,1.85,2.17,4.49,5.40,6.14
부채비율,92.15,98.72,95.88,96.61,101.48,91.48,83.28,81.41
자본유보율,"1,859.30","1,793.26","1,871.55","1,912.21","2,053.07",,,
EPS(원),"2,726","-1,308","1,899","1,101","2,128","4,598","5,621","7,586"
PER(배),60.35,N/A,72.40,149.90,69.54,36.65,29.98,22.21
BPS(원),"50,329","47,877","50,317","51,195","51,816","54,941","60,131","68,825"
PBR(배),3.27,3.94,2.73,3.22,2.86,3.07,2.80,2.45
현금DPS(원),600,600,600,600,600,642,682,709
현금배당수익률,0.36,0.32,0.44,0.36,0.41,0.38,0.40,0.42
현금배당성향(%),19.61,-40.87,28.14,50.63,26.93,13.96,12.14,9.34
발행주식수(보통주),"11,586,575","11,586,575","11,586,575","11,586,575","11,586,575",,,
