주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,012","1,078","1,058",821,693
영업이익,-60,-47,-66,-116,-120
영업이익(발표기준),-60,-47,-66,-116,-120
세전계속사업이익,-125,-72,-80,-242,-119
당기순이익,-127,-72,-78,-247,-119
  당기순이익(지배),-124,-74,-76,-247,-119
  당기순이익(비지배),-3,2,-2,,
자산총계,"1,421","1,540","1,323","1,039",820
부채총계,866,863,753,632,521
자본총계,555,677,570,407,300
  자본총계(지배),548,667,562,407,300
  자본총계(비지배),7,9,8,,
자본금,243,414,414,109,112
영업활동현금흐름,-19,7,-4,19,-88
투자활동현금흐름,-273,-212,122,-18,81
재무활동현금흐름,288,169,-96,38,-27
CAPEX,284,194,15,97,20
FCF,-303,-188,-19,-77,-109
이자발생부채,719,699,607,414,338
영업이익률,-5.91,-4.38,-6.21,-14.13,-17.27
순이익률,-12.53,-6.65,-7.34,-30.08,-17.24
ROE(%),-20.12,-12.17,-12.34,-50.51,-33.82
ROA(%),-9.29,-4.84,-5.42,-22.04,-12.85
부채비율,156.04,127.56,132.20,155.39,173.69
자본유보율,145.32,70.70,44.52,317.41,219.04
EPS(원),"-1,354",-618,-582,"-1,827",-542
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"6,000","5,117","4,312","1,864","1,342"
PBR(배),0.81,0.51,0.54,0.88,1.63
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"9,131,454","13,038,127","13,038,127","21,826,409","22,336,409"
