주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"8,779","9,085","9,298","8,031","9,308","10,283"
영업이익,595,717,802,696,896,944
영업이익(발표기준),595,717,802,696,896,
세전계속사업이익,510,788,877,634,938,736
당기순이익,535,585,683,484,851,668
  당기순이익(지배),494,558,658,459,808,
  당기순이익(비지배),41,27,25,25,42,
자산총계,"7,786","8,708","9,117","9,618","14,850",
부채총계,"2,658","3,072","2,856","3,071","7,710",
자본총계,"5,128","5,635","6,261","6,547","7,140",
  자본총계(지배),"4,941","5,425","6,020","6,263","7,111",
  자본총계(비지배),187,,241,284,29,
자본금,50,50,50,50,50,
영업활동현금흐름,798,742,905,"1,055",409,
투자활동현금흐름,-451,-494,-939,-480,-679,
재무활동현금흐름,-509,363,-294,-136,"4,453",
CAPEX,402,466,622,203,353,
FCF,395,276,283,852,55,
이자발생부채,923,"1,346","1,199","1,400","6,059",
영업이익률,6.78,7.89,8.63,8.66,9.63,9.18
순이익률,6.09,6.44,7.34,6.03,9.14,6.50
ROE(%),7.77,10.76,11.50,7.48,12.09,
ROA(%),5.65,7.09,7.66,5.17,6.96,
부채비율,51.84,54.52,45.62,46.91,107.99,
자본유보율,"15,751.13","16,701.48","17,827.03","18,463.83","19,665.17",
EPS(원),"2,199","5,581","6,584","4,596","8,088",
PER(배),14.53,5.73,4.46,5.60,8.88,
BPS(원),"56,602","62,158","68,983","72,670","82,507",
PBR(배),0.56,0.51,0.43,0.35,0.87,
현금DPS(원),700,"1,000","1,500","2,000","2,000",
현금배당수익률,2.19,3.13,5.11,7.77,2.79,
현금배당성향(%),1.24,15.65,19.90,37.53,21.32,
발행주식수(보통주),"9,994,005","9,994,005","9,994,005","9,994,005","9,994,005",
