주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,916","2,196","2,231","2,534","2,270"
영업이익,-59,58,-42,266,-36
영업이익(발표기준),-59,58,-42,266,-36
세전계속사업이익,-99,32,-46,179,-69
당기순이익,-90,21,-45,107,-79
  당기순이익(지배),-90,21,-45,107,-79
  당기순이익(비지배),,,,,
자산총계,"1,063","1,231","1,337","1,807","1,685"
부채총계,637,747,682,969,661
자본총계,426,485,655,838,"1,024"
  자본총계(지배),426,485,655,838,"1,024"
  자본총계(비지배),,,,0,
자본금,65,69,138,194,275
영업활동현금흐름,-68,-39,39,260,-253
투자활동현금흐름,-44,15,-240,49,-71
재무활동현금흐름,30,8,243,304,-256
CAPEX,21,14,24,117,86
FCF,-89,-53,15,143,-340
이자발생부채,439,444,498,640,323
영업이익률,-3.06,2.63,-1.91,10.49,-1.58
순이익률,-4.68,0.96,-2.03,4.21,-3.50
ROE(%),-19.01,4.64,-7.94,14.30,-8.54
ROA(%),-7.78,1.84,-3.52,6.79,-4.55
부채비율,149.37,154.02,104.22,115.54,64.58
자본유보율,414.79,440.49,288.90,290.17,218.78
EPS(원),-613,132,-212,305,-159
PER(배),N/A,17.30,N/A,13.75,N/A
BPS(원),"2,817","3,036","2,392","2,169","1,901"
PBR(배),0.94,0.75,0.52,1.94,1.44
현금DPS(원),0,0,0,50,0
현금배당수익률,0.00,0.00,0.00,1.19,0.00
현금배당성향(%),0.00,0.00,0.00,18.09,
발행주식수(보통주),"15,350,354","16,183,909","27,596,156","38,845,864","54,962,976"
