주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"6,101","6,548","8,344","8,958","11,792","13,412","16,426"
영업이익,172,52,241,331,382,542,634
영업이익(발표기준),172,52,241,331,382,,
세전계속사업이익,135,18,53,273,416,640,790
당기순이익,99,15,27,210,347,522,646
  당기순이익(지배),96,12,28,204,336,457,625
  당기순이익(비지배),2,2,-1,6,11,,
자산총계,"7,306","7,727","8,274","9,387","12,606","13,019","12,916"
부채총계,"5,117","5,552","6,085","6,104","8,747","8,704","7,971"
자본총계,"2,189","2,175","2,188","3,283","3,859","4,315","4,945"
  자본총계(지배),"2,133","2,119","2,120","3,156","3,514","3,955","4,564"
  자본총계(비지배),56,56,68,127,345,,
자본금,237,237,237,237,237,237,237
영업활동현금흐름,106,39,729,709,-59,244,30
투자활동현금흐름,-191,-503,-472,-241,-764,-330,-252
재무활동현금흐름,102,524,-220,-259,992,311,-127
CAPEX,147,568,512,288,629,300,260
FCF,-40,-528,217,420,-688,158,18
이자발생부채,"2,843","3,474","3,432","3,213","4,662",,
영업이익률,2.82,0.80,2.89,3.70,3.24,4.04,3.86
순이익률,1.62,0.22,0.32,2.34,2.94,3.89,3.93
ROE(%),4.54,0.58,1.31,7.74,10.06,12.25,14.67
ROA(%),1.41,0.19,0.33,2.38,3.15,4.07,4.98
부채비율,233.78,255.27,278.06,185.94,226.67,201.71,161.19
자본유보율,828.21,820.62,819.60,893.13,"1,028.07",,
EPS(원),405,52,117,861,"1,414","1,922","2,623"
PER(배),23.68,99.90,48.63,7.92,7.14,8.79,6.44
BPS(원),"10,292","10,224","10,229","15,226","16,953","18,987","21,910"
PBR(배),0.93,0.51,0.56,0.45,0.60,0.89,0.77
현금DPS(원),60,50,60,80,80,80,80
현금배당수익률,0.63,0.97,1.06,1.17,0.79,0.47,0.47
현금배당성향(%),12.93,84.24,44.87,8.12,4.94,4.17,3.05
발행주식수(보통주),"23,728,210","23,728,210","23,728,210","23,728,210","23,728,210",,
