주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,652","2,418","2,253","2,115","2,248"
영업이익,157,93,129,116,69
영업이익(발표기준),157,93,129,116,69
세전계속사업이익,219,77,316,388,188
당기순이익,174,46,229,303,150
  당기순이익(지배),100,11,151,260,100
  당기순이익(비지배),74,36,78,43,50
자산총계,"5,527","4,962","5,139","5,480","5,661"
부채총계,"1,524","1,371","1,413","1,593","1,760"
자본총계,"4,003","3,591","3,727","3,887","3,900"
  자본총계(지배),"3,053","2,999","3,078","3,250","3,252"
  자본총계(비지배),950,,648,637,648
자본금,279,279,279,279,279
영업활동현금흐름,297,113,212,138,136
투자활동현금흐름,-121,-702,-172,54,20
재무활동현금흐름,-139,546,-4,-87,-103
CAPEX,73,118,187,71,178
FCF,224,-4,24,67,-42
이자발생부채,349,559,652,776,814
영업이익률,5.92,3.85,5.71,5.47,3.05
순이익률,6.57,1.92,10.16,14.33,6.66
ROE(%),3.30,0.36,4.98,8.23,3.08
ROA(%),3.15,0.89,4.53,5.71,2.69
부채비율,38.07,38.17,37.90,40.97,45.14
자본유보율,"1,007.44",992.31,"1,020.56","1,082.67","1,084.56"
EPS(원),179,19,271,466,179
PER(배),16.76,138.65,9.65,6.04,20.48
BPS(원),"5,572","5,473","5,618","5,932","5,936"
PBR(배),0.54,0.49,0.46,0.47,0.62
현금DPS(원),140,150,170,170,170
현금배당수익률,4.67,5.57,6.51,6.04,4.64
현금배당성향(%),76.69,756.52,61.59,35.78,93.14
발행주식수(보통주),"55,895,292","55,895,292","55,895,292","55,895,292","55,895,292"
