주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"5,376","5,844","5,735","5,045","5,042"
영업이익,149,180,120,108,32
영업이익(발표기준),149,180,120,108,32
세전계속사업이익,176,207,140,150,49
당기순이익,137,161,107,114,37
  당기순이익(지배),137,161,107,114,37
  당기순이익(비지배),,,,,
자산총계,"3,894","3,478","3,653","3,402","3,606"
부채총계,"2,184","1,677","1,803","1,485","1,692"
자본총계,"1,710","1,801","1,850","1,917","1,914"
  자본총계(지배),"1,710","1,801","1,850","1,917","1,914"
  자본총계(비지배),,,,,
자본금,219,219,219,219,219
영업활동현금흐름,222,-269,282,102,402
투자활동현금흐름,-54,-31,-182,-136,-156
재무활동현금흐름,-71,-62,-63,-78,-172
CAPEX,170,154,152,170,147
FCF,52,-423,131,-67,255
이자발생부채,186,179,350,313,211
영업이익률,2.77,3.07,2.08,2.14,0.64
순이익률,2.55,2.76,1.87,2.26,0.74
ROE(%),8.22,,5.87,6.05,1.94
ROA(%),3.66,,3.00,3.23,1.06
부채비율,127.70,93.16,97.50,77.50,88.39
자본유보율,706.43,747.57,769.94,801.02,799.52
EPS(원),"3,138","3,686","2,448","2,603",849
PER(배),9.48,8.00,11.73,9.61,31.99
BPS(원),"41,492","43,682","44,873","46,500","46,433"
PBR(배),0.72,0.68,0.64,0.54,0.58
현금DPS(원),"1,250","1,250","1,250","1,250","1,250"
현금배당수익률,4.20,4.24,4.36,5.00,4.60
현금배당성향(%),37.53,31.96,48.12,45.26,138.76
발행주식수(보통주),"4,374,754","4,374,754","4,374,754","4,374,754","4,374,754"
