주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"23,848","25,187","27,380","28,510","32,405","35,167","36,533"
영업이익,"2,103","2,549","2,990","3,408","5,705","5,029","5,242"
영업이익(발표기준),"2,103","2,549","2,990","3,408","5,705",,
세전계속사업이익,"1,617","2,258","3,021","3,211","6,062","4,869","5,082"
당기순이익,"1,176","1,521","2,277","2,345","4,468","3,691","3,852"
  당기순이익(지배),716,862,"1,210","1,049","2,208","1,661","1,733"
  당기순이익(비지배),460,659,"1,067","1,296","2,260",,
자산총계,"27,605","32,622","37,894","37,325","43,256","42,623","44,570"
부채총계,"10,069","10,820","12,137","11,154","11,705","9,912","8,816"
자본총계,"17,536","21,802","25,757","26,171","31,551","32,711","35,753"
  자본총계(지배),"8,878","11,452","13,758","13,707","16,283","15,957","16,881"
  자본총계(비지배),"8,659",,"12,000","12,464","15,268",,
자본금,68,68,68,68,68,68,68
영업활동현금흐름,"1,911","2,717","2,825","4,467","4,049","3,621","4,314"
투자활동현금흐름,"-1,978","-1,346","-2,383","1,221","-4,229","-2,663","-2,643"
재무활동현금흐름,-497,-831,-327,"-1,324","-1,170",-371,"-1,171"
CAPEX,"1,588","1,385","1,329",954,"1,401","1,050","1,050"
FCF,322,"1,332","1,496","3,514","2,647",,
이자발생부채,"4,370","3,867","4,380","3,686","3,134",,
영업이익률,8.82,10.12,10.92,11.95,17.61,14.30,14.35
순이익률,4.93,6.04,8.32,8.22,13.79,10.50,10.54
ROE(%),8.20,8.48,9.60,7.64,14.72,10.30,10.55
ROA(%),4.20,5.05,6.46,6.23,11.09,8.60,8.84
부채비율,57.42,49.63,47.12,42.62,37.10,30.30,24.66
자본유보율,"13,153.82","14,347.95","15,979.95","18,667.24","21,701.46",,
EPS(원),"5,250","6,325","8,870","7,690","16,192","12,181","12,709"
PER(배),10.57,9.88,5.43,4.91,2.89,4.18,4.00
BPS(원),"76,501","98,678","118,552","118,117","140,307","137,502","145,464"
PBR(배),0.73,0.63,0.41,0.32,0.33,0.37,0.35
현금DPS(원),600,800,"1,000","1,200","2,000","1,200","1,200"
현금배당수익률,1.08,1.28,2.07,3.18,4.28,2.36,2.36
현금배당성향(%),9.73,10.76,9.59,13.28,10.51,9.85,9.44
발행주식수(보통주),"13,635,592","13,635,592","13,635,592","13,635,592","13,635,592",,
