주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,368","1,556","2,761","1,444","1,119"
영업이익,26,68,115,120,30
영업이익(발표기준),26,68,115,120,30
세전계속사업이익,14,62,109,111,32
당기순이익,11,54,197,110,43
  당기순이익(지배),11,54,197,110,48
  당기순이익(비지배),,,,,-6
자산총계,"1,240","1,184","1,385","1,581","1,985"
부채총계,808,682,685,765,"1,123"
자본총계,432,501,700,816,862
  자본총계(지배),432,501,700,812,858
  자본총계(비지배),,,,5,4
자본금,238,248,248,248,248
영업활동현금흐름,35,229,90,109,72
투자활동현금흐름,17,15,-190,-77,-285
재무활동현금흐름,-7,-125,-41,140,244
CAPEX,3,5,27,98,7
FCF,31,224,63,11,65
이자발생부채,442,303,267,403,666
영업이익률,1.92,4.38,4.15,8.32,2.70
순이익률,0.81,3.49,7.14,7.60,3.82
ROE(%),2.57,11.62,32.82,14.51,5.79
ROA(%),0.90,4.48,15.35,7.40,2.40
부채비율,186.80,136.00,97.81,93.67,130.35
자본유보율,95.63,117.96,243.86,288.66,307.23
EPS(원),46,222,794,442,195
PER(배),38.91,6.95,4.12,10.99,33.45
BPS(원),"1,819","2,020","2,819","3,270","3,456"
PBR(배),0.99,0.76,1.16,1.48,1.88
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"23,769,595","24,831,812","24,831,812","24,831,982","24,831,982"
