주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,562",829,"1,471","1,249",807
영업이익,67,-97,198,96,-150
영업이익(발표기준),67,-97,198,96,-150
세전계속사업이익,-77,-112,82,21,-142
당기순이익,-71,-163,32,13,-130
  당기순이익(지배),-71,-163,32,13,-130
  당기순이익(비지배),,,,,
자산총계,"2,047","1,973","2,170","1,977","1,659"
부채총계,"1,289","1,277","1,192",903,678
자본총계,758,696,978,"1,074",980
  자본총계(지배),758,696,934,"1,074",980
  자본총계(비지배),,,,,
자본금,572,624,740,"1,136","1,156"
영업활동현금흐름,-169,31,109,180,10
투자활동현금흐름,-58,-173,-34,7,209
재무활동현금흐름,227,127,-69,-4,-187
CAPEX,10,7,9,10,10
FCF,-179,24,100,171,0
이자발생부채,682,694,558,491,314
영업이익률,4.31,-11.75,13.45,7.67,-18.55
순이익률,-4.52,-19.62,2.16,1.07,-16.13
ROE(%),-10.65,-22.37,,1.34,-12.68
ROA(%),-3.20,-8.09,,0.66,-7.16
부채비율,169.97,183.42,121.95,84.14,69.22
자본유보율,35.08,13.68,27.40,-6.07,-15.41
EPS(원),-57,-95,18,6,-57
PER(배),N/A,N/A,44.29,107.18,N/A
BPS(원),473,399,451,473,424
PBR(배),0.94,0.92,1.72,1.36,1.08
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"160,237,214","174,625,703","207,300,327","227,211,638","231,211,638"
