주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,051","1,112",997,982,"1,206"
영업이익,33,181,109,102,81
영업이익(발표기준),33,181,109,102,81
세전계속사업이익,34,184,117,113,77
당기순이익,39,143,93,85,63
  당기순이익(지배),39,143,93,85,64
  당기순이익(비지배),,,0,0,0
자산총계,"1,280","1,390","1,395","2,021","2,096"
부채총계,303,278,198,756,776
자본총계,977,"1,111","1,197","1,265","1,320"
  자본총계(지배),977,"1,111","1,195","1,264","1,319"
  자본총계(비지배),,,2,2,2
자본금,111,111,111,111,111
영업활동현금흐름,39,261,72,116,118
투자활동현금흐름,-45,-134,-70,-525,-206
재무활동현금흐름,-6,-64,-30,494,0
CAPEX,45,27,321,53,36
FCF,-6,234,-249,63,83
이자발생부채,142,85,64,577,586
영업이익률,3.13,16.26,10.91,10.41,6.71
순이익률,3.69,12.88,9.31,8.69,5.26
ROE(%),4.04,13.72,,6.94,4.92
ROA(%),3.11,10.73,,4.99,3.08
부채비율,31.06,25.02,16.57,59.71,58.74
자본유보율,824.33,945.37,"1,020.31","1,092.93","1,142.47"
EPS(원),175,645,418,384,286
PER(배),16.60,5.27,7.45,16.59,26.48
BPS(원),"5,435","6,184","6,648","7,191","7,504"
PBR(배),0.53,0.55,0.47,0.89,1.01
현금DPS(원),40,40,40,40,40
현금배당수익률,1.38,1.18,1.28,0.63,0.53
현금배당성향(%),18.54,5.02,7.74,8.23,11.06
발행주식수(보통주),"22,200,000","22,200,000","22,200,000","22,200,000","22,200,000"
