주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"4,007","3,478","3,248","2,685","2,303"
영업이익,208,94,116,-15,-69
영업이익(발표기준),208,94,116,-15,-69
세전계속사업이익,283,313,183,129,501
당기순이익,217,252,145,105,417
  당기순이익(지배),217,252,145,105,417
  당기순이익(비지배),,,,,
자산총계,"2,846","3,030","2,955","2,952","3,552"
부채총계,"1,368","1,343","1,164","1,056","1,193"
자본총계,"1,478","1,687","1,791","1,895","2,359"
  자본총계(지배),"1,478","1,687","1,791","1,895","2,359"
  자본총계(비지배),,,,,
자본금,552,552,552,552,552
영업활동현금흐름,303,242,277,-90,121
투자활동현금흐름,-143,-82,-26,10,71
재무활동현금흐름,-129,-65,-109,-30,-102
CAPEX,35,199,30,26,24
FCF,268,43,246,-116,97
이자발생부채,530,464,356,327,222
영업이익률,5.18,2.71,3.56,-0.56,-3.00
순이익률,5.43,7.25,4.46,3.92,18.10
ROE(%),16.08,,8.33,5.72,19.60
ROA(%),7.66,,4.84,3.57,12.82
부채비율,92.58,79.60,65.01,55.72,50.57
자본유보율,159.23,204.48,229.91,249.09,328.55
EPS(원),197,228,131,95,377
PER(배),5.03,12.40,24.65,49.22,6.59
BPS(원),"1,338","1,527","1,621","1,716","2,135"
PBR(배),0.74,1.85,1.99,2.74,1.16
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"110,179,090","110,179,090","110,179,090","110,179,090","110,179,090"
