주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,336","1,221","1,453","1,654","2,508"
영업이익,166,85,175,147,349
영업이익(발표기준),166,85,175,147,349
세전계속사업이익,177,89,279,257,656
당기순이익,141,72,235,200,508
  당기순이익(지배),130,67,222,200,508
  당기순이익(비지배),10,5,13,,
자산총계,"1,862","1,879","2,070","2,279","2,869"
부채총계,251,250,323,389,513
자본총계,"1,611","1,628","1,747","1,890","2,355"
  자본총계(지배),"1,546","1,562","1,747","1,890","2,355"
  자본총계(비지배),66,,,,
자본금,60,60,60,60,60
영업활동현금흐름,102,133,234,72,158
투자활동현금흐름,-62,-76,-157,6,-96
재무활동현금흐름,-74,-40,29,-46,-46
CAPEX,33,38,81,7,32
FCF,69,96,153,65,126
이자발생부채,30,37,50,60,60
영업이익률,12.39,6.94,12.06,8.90,13.91
순이익률,10.52,5.89,16.14,12.07,20.23
ROE(%),8.60,4.29,14.56,10.98,23.91
ROA(%),7.64,3.84,12.52,9.18,19.72
부채비율,15.55,15.37,18.46,20.60,21.80
자본유보율,"2,682.69","2,712.73","3,028.84","3,284.75","4,061.68"
EPS(원),"1,113",570,"2,005","1,706","4,338"
PER(배),11.10,19.12,6.06,7.18,5.37
BPS(원),"16,565","16,738","18,820","20,570","25,636"
PBR(배),0.75,0.65,0.65,0.60,0.91
현금DPS(원),460,250,500,500,900
현금배당수익률,3.72,2.29,4.12,4.08,3.86
현금배당성향(%),32.96,34.98,20.90,23.01,16.29
발행주식수(보통주),"11,700,000","11,700,000","11,700,000","11,700,000","11,700,000"
