주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"2,500","2,693","2,557","2,374","2,255","2,100","2,430"
영업이익,"1,711","1,846","1,193",938,895,840,"1,180"
영업이익(발표기준),"1,711","1,846","1,193",938,895,,
세전계속사업이익,"2,210","2,229","1,496","1,172","1,880","1,370","1,710"
당기순이익,"1,678","1,670","1,083",851,"1,400","1,020","1,270"
  당기순이익(지배),"1,672","1,671","1,080",848,"1,393","1,010","1,270"
  당기순이익(비지배),6,-1,2,3,7,,
자산총계,"12,107","13,759","14,472","15,445","17,214","18,100","19,080"
부채총계,"4,915","5,513","5,657","6,215","6,966","7,060","7,000"
자본총계,"7,192","8,246","8,814","9,229","10,248","11,030","12,070"
  자본총계(지배),"7,155","8,210","8,777","9,193","10,206","10,990","12,030"
  자본총계(비지배),37,,38,36,43,,
자본금,"2,525","2,525","2,525","2,525","2,525","2,520","2,520"
영업활동현금흐름,-966,661,34,"3,631","2,695",,
투자활동현금흐름,371,308,-417,-749,"-2,519",,
재무활동현금흐름,794,334,-393,-273,-166,,
CAPEX,4,5,2,54,10,,
FCF,,,,,,,
이자발생부채,"3,794","4,494","4,376","4,536","4,877",,
영업이익률,68.46,68.53,46.66,39.52,39.69,40.00,48.56
순이익률,67.13,62.00,42.34,35.86,62.08,48.57,52.26
ROE(%),25.66,21.75,12.72,9.44,14.37,9.53,11.03
ROA(%),15.50,12.91,7.67,5.69,8.57,5.78,6.83
부채비율,68.33,66.86,64.18,67.34,67.98,64.01,58.00
자본유보율,189.63,233.59,260.18,283.93,324.28,,
EPS(원),662,662,428,336,552,400,503
PER(배),4.73,4.08,4.91,6.01,4.72,5.10,4.06
BPS(원),"2,917","3,379","3,677","4,031","4,475","4,819","5,275"
PBR(배),1.07,0.80,0.57,0.50,0.58,0.42,0.39
현금DPS(원),100,110,110,90,100,100,110
현금배당수익률,3.19,4.07,5.24,4.46,3.84,4.90,5.39
현금배당성향(%),14.67,15.99,24.30,24.20,16.37,25.00,21.87
발행주식수(보통주),"252,489,230","252,489,230","252,489,230","252,489,230","252,489,230",,
