주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"8,586","11,289","15,460","16,429","20,895","22,842","24,808","27,356"
영업이익,309,448,858,929,"1,120","1,068","1,283","1,392"
영업이익(발표기준),309,448,858,929,"1,120",,,
세전계속사업이익,252,422,822,791,"1,281","1,083","1,233","1,366"
당기순이익,141,412,729,936,979,798,914,883
  당기순이익(지배),141,412,729,936,983,803,920,"1,074"
  당기순이익(비지배),,,,,-4,,,
자산총계,"9,010","19,015","24,092","26,951","38,943","39,817","41,252","42,768"
부채총계,"5,842","10,806","14,408","16,624","16,545","17,243","18,178","18,661"
자본총계,"3,168","8,210","9,684","10,327","22,398","22,574","23,074","24,017"
  자본총계(지배),"3,168","8,210","9,684","10,327","22,225","22,551","23,050",
  자본총계(비지배),,,,,173,,,
자본금,"2,700","5,103","5,512","5,512","9,446","9,449","9,449","9,446"
영업활동현금흐름,"1,028","1,130","4,086","1,748","3,165","1,840","2,079","2,208"
투자활동현금흐름,-701,-225,"-1,334",-996,"-2,680","-4,008","-2,237","-2,342"
재무활동현금흐름,-173,-111,846,-976,"10,483",-90,46,-207
CAPEX,386,356,425,456,801,940,"1,175","1,305"
FCF,642,775,"3,661","1,292","2,364",455,79,-134
이자발생부채,"1,099","1,212","1,774","1,845","1,594",,,
영업이익률,3.60,3.97,5.55,5.65,5.36,4.68,5.17,5.09
순이익률,1.64,3.65,4.71,5.70,4.68,3.50,3.68,3.23
ROE(%),3.91,,8.15,9.35,6.04,3.59,4.04,
ROA(%),1.66,,3.38,3.67,2.97,2.03,2.25,2.10
부채비율,184.43,131.62,148.78,160.98,73.87,76.38,78.78,77.70
자본유보율,17.33,60.88,76.01,88.01,138.65,,,
EPS(원),233,497,630,758,630,425,487,569
PER(배),,,14.68,20.40,25.41,36.11,31.52,26.99
BPS(원),"5,240","7,184","7,847","8,375","11,885","12,060","12,327",
PBR(배),0.00,0.00,1.18,1.85,1.35,1.27,1.25,
현금DPS(원),"1,608",138,277,205,160,157,162,100
현금배당수익률,,,2.99,1.33,1.00,1.02,1.05,0.65
현금배당성향(%),690.68,38.36,46.88,27.07,30.43,36.93,33.19,17.58
발행주식수(보통주),"60,458,513","114,274,565","123,414,174","123,414,174","188,919,389",,,
