주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"9,091","12,646","14,886","16,412","19,237","22,350","25,494","29,215"
영업이익,347,686,867,857,979,993,"1,264","1,520"
영업이익(발표기준),347,686,867,857,979,,,
세전계속사업이익,544,"1,538",655,520,"1,509",927,"1,304","1,495"
당기순이익,87,"1,047",232,280,"1,297",603,946,"1,101"
  당기순이익(지배),166,894,123,214,"1,169",558,882,"1,058"
  당기순이익(비지배),-79,154,108,65,128,,,
자산총계,"21,176","24,947","25,003","25,509","30,272","31,886","34,160","36,842"
부채총계,"4,597","6,746","6,716","7,068","9,286","10,374","11,560","13,382"
자본총계,"16,579","18,200","18,287","18,442","20,986","21,512","22,600","23,460"
  자본총계(지배),"15,066","15,823","15,788","15,969","18,343","18,949","19,844","20,709"
  자본총계(비지배),"1,513",,"2,499","2,473","2,643",,,
자본금,98,98,98,98,98,119,122,112
영업활동현금흐름,-435,381,"1,077","1,413","2,264","2,079","2,078","2,599"
투자활동현금흐름,-857,234,-187,32,"-1,738","-1,146","-1,003","-1,205"
재무활동현금흐름,"1,962",-443,-170,-652,77,17,0,28
CAPEX,840,740,572,457,730,412,377,349
FCF,"-1,275",-359,505,956,"1,534","1,522","1,310","2,072"
이자발생부채,978,"1,409","1,402","1,231","1,212",,,
영업이익률,3.82,5.43,5.82,5.22,5.09,4.44,4.96,5.20
순이익률,0.96,8.28,1.56,1.70,6.74,2.70,3.71,3.77
ROE(%),1.12,5.79,0.78,1.35,6.81,2.99,4.54,5.22
ROA(%),0.44,4.54,0.93,1.11,4.65,1.94,2.86,3.10
부채비율,27.73,37.07,36.73,38.32,44.25,48.22,51.15,57.04
자본유보율,"15,497.19","16,599.21","16,742.29","17,088.83","19,336.41",,,
EPS(원),442,"2,382",329,572,"3,115","1,487","2,350","2,821"
PER(배),80.64,12.55,105.95,68.08,14.45,20.15,12.75,10.62
BPS(원),"40,542","42,983","43,088","43,749","51,087","52,774","55,267","57,677"
PBR(배),0.88,0.70,0.81,0.89,0.88,0.57,0.54,0.52
현금DPS(원),0,0,0,0,,20,23,32
현금배당수익률,0.00,0.00,0.00,0.00,,0.07,0.08,0.11
현금배당성향(%),0.00,0.00,0.00,0.00,,1.33,0.96,1.13
발행주식수(보통주),"37,517,915","37,517,915","37,517,915","37,517,915","37,517,915",,,
