주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,513","2,064",957,669,"1,014"
영업이익,197,2,-308,-305,-355
영업이익(발표기준),197,2,-308,-305,-355
세전계속사업이익,172,16,-304,-340,-414
당기순이익,176,17,-304,-370,-437
  당기순이익(지배),176,17,-304,-370,-437
  당기순이익(비지배),,,,,
자산총계,"1,675","1,583","1,262","1,139","1,175"
부채총계,849,773,759,855,"1,067"
자본총계,827,810,503,284,107
  자본총계(지배),827,810,503,284,107
  자본총계(비지배),,,,,
자본금,142,142,142,142,172
영업활동현금흐름,366,182,-151,-232,-255
투자활동현금흐름,-59,-88,-97,49,-69
재무활동현금흐름,-110,-45,72,73,337
CAPEX,46,64,92,21,46
FCF,320,118,-243,-253,-301
이자발생부채,485,470,566,638,726
영업이익률,7.85,0.09,-32.18,-45.59,-34.95
순이익률,6.99,0.80,-31.78,-55.41,-43.05
ROE(%),23.98,2.03,,-94.15,-223.37
ROA(%),10.93,1.02,,-30.85,-37.75
부채비율,102.65,95.52,150.88,301.40,995.11
자본유보율,484.47,472.51,256.03,-6.07,-123.40
EPS(원),473,45,-819,-997,"-1,070"
PER(배),13.09,58.31,N/A,N/A,N/A
BPS(원),"2,229","2,183","1,357",765,257
PBR(배),2.78,1.19,2.09,7.08,8.46
현금DPS(원),76,38,0,0,
현금배당수익률,1.23,1.46,0.00,0.00,
현금배당성향(%),16.08,85.14,0.00,0.00,
발행주식수(보통주),"37,149,830","37,149,830","37,149,830","37,149,830","41,775,992"
