주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"6,868","6,020","3,463","3,595","4,136","4,640","4,850"
영업이익,256,254,148,125,184,220,240
영업이익(발표기준),256,254,148,125,184,,
세전계속사업이익,-631,67,198,428,293,360,430
당기순이익,-867,-415,263,727,236,290,340
  당기순이익(지배),-549,-390,253,712,216,270,320
  당기순이익(비지배),-318,-25,10,14,20,,
자산총계,"16,294","13,474","6,664","6,271","6,537","6,750","7,010"
부채총계,"11,063","9,154","2,103","1,007","1,044","1,020","1,010"
자본총계,"5,231","4,320","4,561","5,265","5,493","5,730","6,000"
  자본총계(지배),"4,670","4,090","4,339","5,029","5,207","5,440","5,690"
  자본총계(비지배),561,,223,235,286,,
자본금,"2,318","2,318","2,359",420,420,420,420
영업활동현금흐름,567,-38,351,93,113,240,210
투자활동현금흐름,-310,504,-255,16,-9,-170,-200
재무활동현금흐름,-248,-359,-394,2,-156,90,120
CAPEX,256,141,133,45,50,140,140
FCF,311,-179,218,47,63,,
이자발생부채,"2,068","1,143",472,246,286,,
영업이익률,3.73,4.21,4.27,3.46,4.44,4.74,4.95
순이익률,-12.63,-6.89,7.59,20.21,5.71,6.25,7.01
ROE(%),-11.11,-8.90,6.00,15.20,4.22,5.07,5.75
ROA(%),-4.77,-2.79,2.61,11.23,3.69,4.37,4.94
부채비율,211.48,211.91,46.10,19.12,19.01,17.80,16.83
자본유보율,164.75,135.04,149.16,"1,076.92","1,138.77",,
EPS(원),"-1,164",-826,536,"1,626",514,643,762
PER(배),N/A,N/A,7.33,2.27,6.91,5.27,4.44
BPS(원),"10,856","9,735","10,328","11,972","12,394","12,950","13,545"
PBR(배),0.41,0.50,0.38,0.31,0.29,0.26,0.25
현금DPS(원),49,0,0,120,120,150,150
현금배당수익률,1.09,0.00,0.00,3.26,3.38,4.43,4.43
현금배당성향(%),-3.84,0.00,0.00,7.08,23.35,23.34,19.69
발행주식수(보통주),"47,183,679","47,183,679","47,183,679","42,008,577","42,008,577",,
