주요재무정보,"2020/06
(GAAP개별)","2020/12
(GAAP개별)","2021/06
(GAAP개별)","2021/12
(IFRS별도)","2022/02
(IFRS별도)"
매출액,147,127,132,134,46
영업이익,100,5,81,90,28
영업이익(발표기준),100,5,81,90,28
세전계속사업이익,65,-38,21,27,7
당기순이익,65,-38,21,27,7
  당기순이익(지배),65,-38,21,27,7
  당기순이익(비지배),,,,,
자산총계,"4,347","5,235","5,246","5,233","5,186"
부채총계,"2,566","4,076","4,082","4,079","4,071"
자본총계,"1,781","1,159","1,164","1,154","1,115"
  자본총계(지배),"1,781","1,159","1,164","1,154","1,115"
  자본총계(비지배),,,,,
자본금,184,104,104,104,104
영업활동현금흐름,86,-7,47,23,14
투자활동현금흐름,,-5,-3,-2,0
재무활동현금흐름,-60,-10,-16,-38,-47
CAPEX,,5,1,2,
FCF,86,-11,45,21,14
이자발생부채,"2,356","3,870","3,870","3,870","3,870"
영업이익률,67.93,3.87,61.64,67.14,60.84
순이익률,44.21,-30.05,15.87,19.98,16.12
ROE(%),3.65,-2.60,1.80,2.32,0.65
ROA(%),1.49,-0.80,0.40,0.51,0.14
부채비율,144.12,351.78,350.82,353.39,365.18
자본유보율,867.71,114.65,119.39,"1,004.57",966.84
EPS(원),176,-119,100,129,
PER(배),,,,,
BPS(원),"4,839","5,544","5,568","5,523",
PBR(배),0.00,0.00,0.00,0.00,
현금DPS(원),0,0,0,62,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,48.94,
발행주식수(보통주),"6,000,000","20,900,000","20,900,000","20,900,000",
