주요재무정보,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,994,"1,839","2,256","9,290","11,849","14,250","13,677"
영업이익,264,228,377,"4,742","5,614","6,753","6,664"
영업이익(발표기준),264,228,377,"4,742",,,
세전계속사업이익,121,185,373,"4,711","5,673","6,818","6,757"
당기순이익,89,147,329,"3,551","4,474","5,387","5,389"
  당기순이익(지배),89,147,329,"3,551","4,474","5,387","5,389"
  당기순이익(비지배),,,,,,,
자산총계,"4,000","4,040","5,622","21,101","24,361","29,616","35,124"
부채총계,"1,808","1,712","2,984","5,088","5,185","5,062","5,189"
자본총계,"2,192","2,327","2,638","16,013","19,176","24,554","29,934"
  자본총계(지배),"2,192","2,327","2,638","16,013","19,176","24,554","29,934"
  자본총계(비지배),,,,,,,
자본금,102,102,306,382,372,372,372
영업활동현금흐름,149,360,"1,202","5,366","4,659","5,657","5,664"
투자활동현금흐름,-176,-26,"-1,081","-14,219",-717,-836,-895
재무활동현금흐름,8,-234,-15,"9,584",4,-66,-65
CAPEX,54,237,99,429,754,547,352
FCF,95,123,"1,103","4,937","3,668","4,857","5,186"
이자발생부채,"1,380","1,251","1,220","1,062",,,
영업이익률,26.60,12.39,16.71,51.05,47.38,47.39,48.73
순이익률,8.99,7.98,14.58,38.23,37.76,37.81,39.40
ROE(%),,6.49,13.25,38.08,25.43,24.64,19.78
ROA(%),,3.65,6.81,26.58,19.68,19.96,16.65
부채비율,82.44,73.58,113.14,31.77,27.04,20.61,17.34
자본유보율,"2,061.40","2,191.45",763.90,"4,084.63",,,
EPS(원),295,240,537,"4,828","5,832","7,016","7,018"
PER(배),,,,46.61,21.01,17.46,17.45
BPS(원),"3,582","3,803","4,310","20,932","24,974","31,978","38,985"
PBR(배),0.00,0.00,0.00,10.75,4.91,3.83,3.14
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,,,,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,,,,
발행주식수(보통주),"61,200,000","61,200,000","61,200,000","76,500,000",,,
