주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"5,680","4,752","4,514","4,193","4,222"
영업이익,590,671,296,405,286
영업이익(발표기준),590,671,296,405,286
세전계속사업이익,583,643,176,433,363
당기순이익,446,492,77,329,297
  당기순이익(지배),446,492,77,332,299
  당기순이익(비지배),,,,-3,-2
자산총계,"5,759","6,409","6,126","5,805","8,080"
부채총계,"2,273","2,661","2,416","1,860","3,910"
자본총계,"3,487","3,748","3,710","3,945","4,170"
  자본총계(지배),"3,487","3,748","3,710","3,940","4,167"
  자본총계(비지배),,,,5,3
자본금,623,623,623,623,623
영업활동현금흐름,-675,"1,266",453,"1,005",-145
투자활동현금흐름,120,-58,40,-528,-959
재무활동현금흐름,411,-610,-285,432,831
CAPEX,8,7,16,2,53
FCF,-683,"1,259",438,"1,003",-198
이자발생부채,611,111,79,583,"1,543"
영업이익률,10.38,14.12,6.56,9.66,6.78
순이익률,7.86,10.36,1.70,7.85,7.03
ROE(%),13.50,13.61,2.06,,7.37
ROA(%),8.27,8.09,1.22,,4.28
부채비율,65.19,70.99,65.13,47.16,93.77
자본유보율,453.58,517.68,511.10,551.35,591.71
EPS(원),"3,586","3,954",616,"2,667","2,399"
PER(배),4.22,3.67,18.90,4.67,5.25
BPS(원),"28,790","30,949","30,635","32,534","34,410"
PBR(배),0.53,0.47,0.38,0.38,0.37
현금DPS(원),890,930,500,650,"1,000"
현금배당수익률,5.87,6.41,4.29,5.22,7.94
현금배당성향(%),24.14,22.88,78.92,23.70,40.54
발행주식수(보통주),"12,450,800","12,450,800","12,450,800","12,450,800","12,450,800"
