주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,059","1,085","1,126","1,188","1,549","2,154","2,442"
영업이익,120,75,83,138,213,314,363
영업이익(발표기준),120,75,83,138,213,,
세전계속사업이익,95,67,98,167,235,329,376
당기순이익,76,51,76,138,189,264,304
  당기순이익(지배),76,51,76,138,189,264,304
  당기순이익(비지배),,,,,,,
자산총계,"1,598","1,602","1,450","1,626","1,808",,
부채총계,718,671,443,482,495,,
자본총계,880,931,"1,007","1,144","1,313",,
  자본총계(지배),880,931,"1,007","1,144","1,313",,
  자본총계(비지배),,,,,,,
자본금,38,38,38,38,38,,
영업활동현금흐름,122,45,131,152,121,,
투자활동현금흐름,-38,-9,129,-70,-103,,
재무활동현금흐름,-103,-36,-244,-10,-30,,
CAPEX,16,12,11,29,116,,
FCF,106,33,121,123,5,,
이자발생부채,424,385,175,164,175,,
영업이익률,11.29,6.94,7.35,11.65,13.72,14.57,14.87
순이익률,7.23,4.70,6.78,11.64,12.21,12.28,12.45
ROE(%),9.60,5.63,7.87,12.86,15.39,,
ROA(%),4.72,3.19,5.00,8.99,11.01,,
부채비율,81.51,72.05,43.99,42.12,37.70,,
자본유보율,"2,233.21","2,367.84","2,569.30","2,930.95","3,370.69",,
EPS(원),"1,747","1,081","1,617","2,931","4,009","5,607","6,444"
PER(배),18.32,19.47,13.60,12.86,20.31,14.14,12.31
BPS(원),"18,660","19,740","21,349","24,253","27,834",,
PBR(배),1.71,1.07,1.03,1.55,2.92,,
현금DPS(원),0,0,0,500,700,,
현금배당수익률,0.00,0.00,0.00,1.33,0.86,,
현금배당성향(%),0.00,0.00,0.00,17.06,17.46,,
발행주식수(보통주),"4,717,650","4,717,650","4,717,650","4,717,650","4,717,650",,
