주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,369","1,713","1,911","1,970","2,530"
영업이익,35,55,64,74,154
영업이익(발표기준),35,55,64,74,154
세전계속사업이익,3,36,64,44,150
당기순이익,1,28,50,35,122
  당기순이익(지배),1,28,50,35,122
  당기순이익(비지배),,,,,
자산총계,"1,912","1,967","2,085","2,075","2,272"
부채총계,869,911,996,971,"1,052"
자본총계,"1,043","1,057","1,088","1,104","1,220"
  자본총계(지배),"1,043","1,057","1,088","1,104","1,220"
  자본총계(비지배),,,,,
자본금,55,55,55,55,55
영업활동현금흐름,36,62,94,114,158
투자활동현금흐름,-21,-74,-101,-117,-78
재무활동현금흐름,18,-32,13,-14,-57
CAPEX,22,63,107,128,86
FCF,14,-1,-14,-14,72
이자발생부채,634,646,669,677,638
영업이익률,2.53,3.23,3.37,3.75,6.11
순이익률,0.09,1.62,2.59,1.78,4.80
ROE(%),0.12,,4.62,3.20,10.46
ROA(%),0.07,,2.44,1.69,5.59
부채비율,83.37,86.20,91.56,88.00,86.22
자본유보율,"1,795.68","1,821.07","1,878.70","1,907.17","2,118.69"
EPS(원),11,252,450,319,"1,105"
PER(배),287.29,16.71,9.84,36.18,24.44
BPS(원),"9,478","9,605","9,893","10,036","11,093"
PBR(배),0.34,0.44,0.45,1.15,2.43
현금DPS(원),55,100,110,100,200
현금배당수익률,1.69,2.38,2.48,0.87,0.74
현금배당성향(%),486.94,39.74,24.43,31.32,18.10
발행주식수(보통주),"11,000,000","11,000,000","11,000,000","11,000,000","11,000,000"
