주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,364,322,275,275,324
영업이익,17,5,11,18,26
영업이익(발표기준),17,5,11,18,26
세전계속사업이익,3,1,4,-2,27
당기순이익,4,5,1,-3,21
  당기순이익(지배),4,5,1,-3,21
  당기순이익(비지배),,,,,0
자산총계,403,434,455,471,496
부채총계,81,107,57,41,44
자본총계,322,327,398,430,451
  자본총계(지배),322,327,398,430,450
  자본총계(비지배),,,,,1
자본금,118,118,144,144,144
영업활동현금흐름,-14,46,54,24,14
투자활동현금흐름,-29,-17,-127,1,31
재무활동현금흐름,70,0,3,0,1
CAPEX,3,2,9,0,1
FCF,-17,44,45,23,13
이자발생부채,67,70,3,0,0
영업이익률,4.60,1.46,4.13,6.62,8.07
순이익률,1.23,1.64,0.30,-0.95,6.49
ROE(%),1.39,1.63,0.23,-0.60,
ROA(%),1.12,1.26,0.19,-0.56,
부채비율,25.13,32.90,14.28,9.57,9.81
자본유보율,177.42,179.16,179.56,199.60,216.01
EPS(원),19,22,3,-9,73
PER(배),95.48,77.37,647.60,N/A,23.55
BPS(원),"1,361","1,379","1,388","1,497","1,569"
PBR(배),1.32,1.25,1.43,2.00,1.10
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"23,690,705","23,690,705","28,705,031","28,705,031","28,705,031"
