주요재무정보,"2016/12
(IFRS연결)","2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS연결)"
매출액,941,863,700,116,99
영업이익,-66,-78,-198,-37,-34
영업이익(발표기준),-66,-78,-198,-37,-34
세전계속사업이익,-21,-200,-166,-231,-456
당기순이익,-40,-203,-166,-370,-490
  당기순이익(지배),-40,-201,-164,-370,-490
  당기순이익(비지배),1,-2,-2,,
자산총계,964,"1,018","1,906",955,692
부채총계,548,230,"1,072",563,462
자본총계,416,788,835,392,230
  자본총계(지배),407,781,835,392,230
  자본총계(비지배),9,7,,,
자본금,264,455,472,742,65
영업활동현금흐름,-24,-66,-283,-151,-167
투자활동현금흐름,24,18,-557,-424,3
재무활동현금흐름,84,185,962,-58,105
CAPEX,5,1,3,8,9
FCF,-28,-67,-286,-159,-176
이자발생부채,218,27,678,396,385
영업이익률,-7.06,-9.06,-28.31,-31.88,-34.67
순이익률,-4.22,-23.58,-23.69,-319.12,-497.02
ROE(%),-8.98,-33.91,-20.30,-60.41,
ROA(%),-4.09,-20.52,-11.34,-25.89,
부채비율,131.80,29.21,128.41,143.78,200.37
자본유보율,34.18,60.34,77.10,12.83,982.32
EPS(원),"-1,917","-8,193","-4,351","-9,160","-4,808"
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"19,288","21,430","22,120","6,603","1,764"
PBR(배),1.45,1.84,2.52,1.99,9.01
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00
발행주식수(보통주),"2,109,374","3,643,847","3,773,458","5,932,803","13,071,541"
