주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"7,624","8,140","8,752","8,905","10,973","16,134","15,948","16,750"
영업이익,671,801,848,962,"1,683","2,472","2,324","2,440"
영업이익(발표기준),671,801,848,962,"1,683",,,
세전계속사업이익,534,629,876,908,"2,316","2,420","2,260","2,380"
당기순이익,411,360,675,768,"1,824","2,007","1,897","2,000"
  당기순이익(지배),396,361,676,769,"1,826","2,007","1,897","2,000"
  당기순이익(비지배),15,-1,-1,-1,-1,,,
자산총계,"11,131","11,119","10,763","11,208","13,477","15,330","16,970","18,690"
부채총계,"4,637","4,564","3,675","3,388","3,546","3,590","3,480","3,350"
자본총계,"6,495","6,554","7,088","7,820","9,931","11,740","13,490","15,340"
  자본총계(지배),"6,515","6,576","7,110","7,843","9,956",,,
  자본총계(비지배),-20,,-22,-24,-25,,,
자본금,444,444,444,444,444,440,440,440
영업활동현금흐름,-190,550,725,"1,579","1,218","1,260","2,730","2,510"
투자활동현금흐름,-899,-483,-150,-25,-433,"-1,000",-600,-620
재무활동현금흐름,776,-238,-922,-979,-311,-350,-250,-350
CAPEX,"1,005",732,458,361,647,820,420,440
FCF,"-1,195",-183,267,"1,218",570,420,"2,290","2,050"
이자발생부채,"3,902","3,774","3,064","2,221","2,210",,,
영업이익률,8.80,9.84,9.69,10.81,15.34,15.32,14.57,14.57
순이익률,5.39,4.42,7.71,8.63,16.63,12.44,11.89,11.94
ROE(%),6.19,5.52,9.87,10.29,20.51,,,
ROA(%),3.80,3.23,6.17,6.99,14.78,13.93,11.75,11.22
부채비율,71.39,69.64,51.84,43.33,35.71,30.58,25.80,21.84
자본유보율,"1,338.51","1,468.23","1,604.05","1,748.53","2,092.47",,,
EPS(원),"4,454","4,062","7,600","8,656","20,535","22,576","21,339","22,498"
PER(배),10.45,10.34,6.15,5.58,4.89,5.32,5.62,5.33
BPS(원),"73,290","73,967","79,982","89,826","114,016",,,
PBR(배),0.64,0.57,0.58,0.54,0.88,,,
현금DPS(원),"1,100","1,100","1,200","1,400","1,700","1,700","1,700","1,700"
현금배당수익률,2.36,2.62,2.57,2.90,1.69,1.42,1.42,1.42
현금배당성향(%),24.70,27.08,15.79,15.89,8.13,7.53,7.97,7.56
발행주식수(보통주),"8,889,843","8,889,843","8,889,843","8,889,843","8,889,843",,,
