주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,743","1,277","1,082",973,"1,042"
영업이익,246,150,158,151,109
영업이익(발표기준),246,150,158,151,109
세전계속사업이익,293,180,192,258,145
당기순이익,220,136,145,197,112
  당기순이익(지배),220,136,145,197,112
  당기순이익(비지배),,,,,
자산총계,"2,447","2,506","2,958","3,432","4,409"
부채총계,191,133,208,283,639
자본총계,"2,257","2,373","2,750","3,149","3,770"
  자본총계(지배),"2,257","2,373","2,750","3,149","3,770"
  자본총계(비지배),,,,,
자본금,342,342,342,342,342
영업활동현금흐름,325,192,291,213,-185
투자활동현금흐름,-344,-157,-256,120,-483
재무활동현금흐름,-34,-5,-14,0,206
CAPEX,58,27,15,6,567
FCF,267,165,277,206,-752
이자발생부채,3,43,45,42,265
영업이익률,14.09,11.73,14.64,15.53,10.50
순이익률,12.63,10.69,13.40,20.20,10.75
ROE(%),10.22,5.90,5.66,6.66,3.24
ROA(%),9.34,5.51,5.31,6.15,2.86
부채비율,8.45,5.60,7.57,8.98,16.96
자본유보율,569.96,610.88,653.21,710.64,740.38
EPS(원),"3,312","2,052","2,181","2,956","1,685"
PER(배),12.35,16.78,17.88,20.06,32.40
BPS(원),"62,747","66,088","77,404","88,625","106,105"
PBR(배),0.65,0.52,0.50,0.67,0.51
현금DPS(원),0,0,0,300,300
현금배당수익률,0.00,0.00,0.00,0.51,0.55
현금배당성향(%),0.00,0.00,0.00,5.42,9.51
발행주식수(보통주),"6,649,138","6,649,138","6,649,138","6,649,138","6,649,138"
