주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,086","2,090","1,563","1,752","2,004"
영업이익,-99,-125,-130,36,54
영업이익(발표기준),-99,-125,-130,36,54
세전계속사업이익,-136,118,-167,39,21
당기순이익,-96,124,-160,26,16
  당기순이익(지배),-96,125,-156,27,16
  당기순이익(비지배),0,-1,-4,0,0
자산총계,"3,560","2,675","1,977","2,138","2,326"
부채총계,"1,876",907,717,775,931
자본총계,"1,683","1,768","1,261","1,363","1,395"
  자본총계(지배),"1,685","1,770","1,266","1,363","1,395"
  자본총계(비지배),-1,,-6,0,0
자본금,53,53,53,53,53
영업활동현금흐름,31,-187,-193,43,-94
투자활동현금흐름,196,"1,712",-23,-94,-107
재무활동현금흐름,-246,-698,-480,67,143
CAPEX,13,17,27,25,24
FCF,18,-204,-220,18,-118
이자발생부채,"1,166",492,371,441,608
영업이익률,-4.76,-5.98,-8.30,2.03,2.70
순이익률,-4.60,5.95,-10.21,1.51,0.78
ROE(%),-5.51,7.26,-10.27,2.04,1.13
ROA(%),-2.64,3.99,-6.86,1.29,0.70
부채비율,111.44,51.28,56.83,56.85,66.79
자본유보율,644.61,"2,762.97","2,432.33","2,468.35","2,515.66"
EPS(원),"-1,808","2,365","-2,943",506,294
PER(배),N/A,6.17,N/A,79.01,168.30
BPS(원),"31,785","34,528","35,259","37,951","38,608"
PBR(배),0.47,0.42,0.57,1.05,1.28
현금DPS(원),0,300,,,
현금배당수익률,0.00,2.05,,,
현금배당성향(%),0.00,12.28,0.00,0.00,
발행주식수(보통주),"5,300,000","5,300,000","5,300,000","5,300,000","5,300,000"
