주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,,695,"1,411","2,844","4,586","6,238","8,976","12,333"
영업이익,,-965,-653,-179,-272,-6,658,"1,549"
영업이익(발표기준),,-965,-653,-179,-272,,,
세전계속사업이익,,-935,-650,-258,-260,40,710,"1,601"
당기순이익,,-935,-650,-251,-339,29,554,"1,252"
  당기순이익(지배),,-935,-650,-206,-229,37,316,599
  당기순이익(비지배),,,-1,-45,-109,,,
자산총계,,"3,873","5,246","12,080","34,327","33,511","38,596","45,170"
부채총계,,"2,765","4,780","10,038","16,371","20,211","26,270","33,452"
자본총계,,"1,109",466,"2,041","17,956","17,995","18,512","19,697"
  자본총계(지배),,"1,109",466,"1,822","16,932","17,019","17,508","18,601"
  자본총계(비지배),,0,0,219,"1,024",,,
자본금,,95,95,111,659,660,660,660
영업활동현금흐름,,810,"1,088",326,"1,567","-4,080","1,095","2,445"
투자활동현금흐름,,47,108,"-1,939","-9,968",-376,"-1,727","-2,106"
재무활동현금흐름,,,-23,"1,677","15,956",584,499,387
CAPEX,,33,57,49,184,200,332,225
FCF,,777,"1,031",277,"1,383","-4,636",-104,"1,324"
이자발생부채,,2,194,203,"1,186",,,
영업이익률,,-138.81,-46.28,-6.30,-5.94,-0.10,7.33,12.56
순이익률,,-134.46,-46.07,-8.81,-7.38,0.46,6.17,10.15
ROE(%),,,-82.49,-17.97,-2.45,0.22,1.83,3.32
ROA(%),,,-14.26,-2.89,-1.46,0.09,1.54,2.99
부채비율,,249.37,"1,025.48",491.76,91.17,112.31,141.91,169.83
자본유보율,,"1,068.86",384.65,"1,534.51","2,451.26",,,
EPS(원),,-985,-684,-201,-198,28,239,452
PER(배),,,,,N/A,"3,049.38",360.55,190.21
BPS(원),,"1,168",491,"1,640","12,839","12,846","13,215","14,041"
PBR(배),,0.00,0.00,0.00,13.59,6.69,6.51,6.13
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,,,,,0.00,0.00,0.00,0.00
현금배당성향(%),,0.00,0.00,0.00,,,,
발행주식수(보통주),"94,937,990","94,937,990","94,937,990","111,144,460","131,883,080",,,
