주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"47,944","51,769","49,307","42,574","60,055"
영업이익,"2,746","1,175",895,131,"3,082"
영업이익(발표기준),"2,746","1,175",895,131,"3,082"
세전계속사업이익,"2,492",783,648,"-3,248","1,932"
당기순이익,"2,111",645,485,"-2,615","1,336"
  당기순이익(지배),"1,344",328,308,"-1,620",493
  당기순이익(비지배),767,317,176,-995,844
자산총계,"52,548","54,539","54,567","50,849","55,378"
부채총계,"22,088","24,466","24,243","23,579","26,750"
자본총계,"30,460","30,073","30,324","27,270","28,628"
  자본총계(지배),"18,678","19,386","19,656","18,578","19,488"
  자본총계(비지배),"11,782",,"10,668","8,692","9,140"
자본금,200,200,200,200,200
영업활동현금흐름,"2,647","1,407","3,658","4,564",-583
투자활동현금흐름,"-1,641","-1,302","-2,104","-2,205",458
재무활동현금흐름,"-1,473",655,-627,"-2,109",-313
CAPEX,"1,288","1,177","1,006",603,"1,010"
FCF,"1,359",230,"2,653","3,960","-1,593"
이자발생부채,"13,838","16,106","16,057","14,463","14,738"
영업이익률,5.73,2.27,1.82,0.31,5.13
순이익률,4.40,1.25,0.98,-6.14,2.23
ROE(%),7.50,1.72,1.58,-8.48,2.59
ROA(%),4.05,1.21,0.89,-4.96,2.52
부채비율,72.52,81.36,79.95,86.47,93.44
자본유보율,"9,253.73","9,645.05","9,736.42","9,261.96","9,701.53"
EPS(원),"33,604","8,191","7,705","-40,506","12,315"
PER(배),4.52,11.88,10.20,N/A,8.49
BPS(원),"467,055","484,760","491,513","466,917","498,208"
PBR(배),0.33,0.20,0.16,0.16,0.21
현금DPS(원),"2,000","2,500","2,250","2,250","2,750"
현금배당수익률,1.32,2.57,2.86,2.94,2.63
현금배당성향(%),5.95,30.51,29.19,-5.53,20.01
발행주식수(보통주),"4,000,000","4,000,000","4,000,000","4,000,000","4,000,000"
