주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,649","2,454","2,461","1,959","1,747"
영업이익,219,158,114,88,73
영업이익(발표기준),219,158,114,88,73
세전계속사업이익,251,136,-56,-97,344
당기순이익,194,96,-81,-82,264
  당기순이익(지배),194,96,-81,-82,264
  당기순이익(비지배),,,,,
자산총계,"1,980","2,152","2,286","2,049","2,221"
부채총계,610,607,872,747,666
자본총계,"1,370","1,546","1,414","1,302","1,556"
  자본총계(지배),"1,370","1,546","1,414","1,302","1,556"
  자본총계(비지배),,,,,
자본금,50,56,56,56,56
영업활동현금흐름,123,170,-2,335,56
투자활동현금흐름,-220,-4,-40,-210,-31
재무활동현금흐름,0,110,-114,-114,-58
CAPEX,15,1,22,2,2
FCF,108,169,-25,332,54
이자발생부채,0,0,276,228,180
영업이익률,8.28,6.44,4.62,4.47,4.17
순이익률,7.32,3.92,-3.27,-4.18,15.09
ROE(%),15.24,6.60,-5.44,-6.04,18.45
ROA(%),10.10,4.66,-3.63,-3.78,12.35
부채비율,44.49,39.25,61.69,57.32,42.78
자본유보율,"2,646.09","2,712.73","2,455.24","2,235.70","2,704.53"
EPS(원),"1,940",949,-725,-737,"2,375"
PER(배),,12.27,N/A,N/A,7.62
BPS(원),"13,704","13,924","12,737","11,734","14,016"
PBR(배),0.00,0.84,1.67,2.05,1.29
현금DPS(원),500,500,500,0,500
현금배당수익률,,4.29,2.35,0.00,2.76
현금배당성향(%),25.78,57.71,-68.93,0.00,21.05
발행주식수(보통주),"10,000,000","11,100,000","11,100,000","11,100,000","11,100,000"
