주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"5,413","5,793","4,402","2,547","5,824"
영업이익,242,156,-474,-595,36
영업이익(발표기준),242,156,-474,-595,36
세전계속사업이익,168,138,-623,-616,19
당기순이익,123,100,-828,-614,20
  당기순이익(지배),123,100,-828,-614,20
  당기순이익(비지배),,,,,
자산총계,"4,622","4,331","3,644","3,121","3,953"
부채총계,"1,986","1,634","1,799","1,883","2,693"
자본총계,"2,636","2,697","1,845","1,238","1,260"
  자본총계(지배),"2,636","2,697","1,845","1,238","1,260"
  자본총계(비지배),,,,,
자본금,200,200,200,200,200
영업활동현금흐름,488,88,222,-417,-372
투자활동현금흐름,150,21,-27,-180,-96
재무활동현금흐름,-378,-70,209,184,548
CAPEX,77,28,258,183,88
FCF,411,60,-36,-601,-460
이자발생부채,844,793,"1,053","1,224","1,769"
영업이익률,4.48,2.70,-10.76,-23.35,0.62
순이익률,2.28,1.73,-18.81,-24.10,0.34
ROE(%),4.79,3.77,-36.47,-39.82,1.57
ROA(%),2.64,2.24,-20.77,-18.15,0.55
부채비율,75.34,60.59,97.49,152.15,213.71
자본유보율,"1,015.53","1,046.04",620.16,316.49,327.61
EPS(원),309,251,"-2,070","-1,535",49
PER(배),24.55,17.27,N/A,N/A,97.86
BPS(원),"6,590","6,742","4,613","3,095","3,150"
PBR(배),1.15,0.64,0.67,1.25,1.52
현금DPS(원),50,50,0,0,
현금배당수익률,0.66,1.15,0.00,0.00,
현금배당성향(%),16.20,19.91,0.00,0.00,
발행주식수(보통주),"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000"
