주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"8,167","9,124","10,140","13,481","17,183"
영업이익,547,348,401,"1,076",863
영업이익(발표기준),547,348,401,"1,076",863
세전계속사업이익,740,273,325,"1,036",592
당기순이익,556,185,203,852,424
  당기순이익(지배),534,179,214,836,429
  당기순이익(비지배),23,6,-11,16,-5
자산총계,"6,868","9,172","9,833","11,197","12,096"
부채총계,"3,520","5,860","6,520","7,357","7,798"
자본총계,"3,348","3,311","3,313","3,840","4,298"
  자본총계(지배),"3,227","3,165","3,196","3,700","4,131"
  자본총계(비지배),122,,117,141,167
자본금,119,119,119,119,119
영업활동현금흐름,646,-261,157,"1,134",730
투자활동현금흐름,-989,"-1,379",66,-865,-424
재무활동현금흐름,489,"2,171",-608,200,-77
CAPEX,370,294,334,503,313
FCF,276,-556,-177,630,417
이자발생부채,"2,606","4,828","5,280","5,751","6,156"
영업이익률,6.70,3.82,3.96,7.98,5.02
순이익률,6.81,2.03,2.00,6.32,2.47
ROE(%),20.98,5.61,6.72,24.25,10.96
ROA(%),9.04,2.31,2.13,8.10,3.64
부채비율,105.14,176.98,196.82,191.56,181.46
자본유보율,"2,560.60","2,592.68","2,604.89","3,136.89","3,478.63"
EPS(원),"2,879",754,899,"3,516","1,804"
PER(배),5.35,15.06,10.45,3.21,6.38
BPS(원),"13,569","13,312","13,439","15,558","17,371"
PBR(배),1.13,0.85,0.70,0.73,0.66
현금DPS(원),0,50,50,100,100
현금배당수익률,0.00,0.44,0.53,0.88,0.87
현금배당성향(%),0.00,6.63,5.56,2.84,5.54
발행주식수(보통주),"23,779,604","23,779,604","23,779,604","23,779,604","23,779,604"
