주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"2,114","3,231","4,689","3,831","3,711","4,384","5,052"
영업이익,237,215,320,40,232,420,510
영업이익(발표기준),237,215,320,40,232,,
세전계속사업이익,146,219,206,-110,292,428,532
당기순이익,87,149,62,-164,191,322,400
  당기순이익(지배),90,153,68,-157,192,320,396
  당기순이익(비지배),-3,-3,-6,-7,0,,
자산총계,"1,918","2,947","3,306","2,911","3,302","3,674","4,147"
부채총계,668,"1,566","1,884","1,687","1,831","1,906","2,004"
자본총계,"1,250","1,381","1,422","1,224","1,470","1,768","2,143"
  자본총계(지배),"1,250","1,369","1,416","1,212","1,456","1,751","2,123"
  자본총계(비지배),0,,6,12,14,,
자본금,140,140,140,140,140,140,140
영업활동현금흐름,212,-80,58,327,98,270,350
투자활동현금흐름,-51,-366,-20,-64,169,-70,-109
재무활동현금흐름,-23,337,-17,-58,-10,-74,-49
CAPEX,32,49,87,45,43,105,152
FCF,180,-129,-29,282,55,195,242
이자발생부채,306,985,"1,217","1,123","1,105",,
영업이익률,11.20,6.66,6.83,1.03,6.26,9.57,10.11
순이익률,4.13,4.63,1.33,-4.29,5.16,7.34,7.91
ROE(%),7.27,11.66,4.90,-11.97,14.37,19.93,20.44
ROA(%),4.61,6.14,2.00,-5.29,6.16,9.23,10.22
부채비율,53.43,113.44,132.43,137.76,124.58,107.78,93.51
자본유보율,858.45,942.51,967.04,830.76,967.45,,
EPS(원),371,631,282,-650,792,"1,316","1,629"
PER(배),18.69,10.04,31.90,N/A,10.39,9.12,7.37
BPS(원),"5,286","5,789","5,987","5,126","6,016","7,204","8,735"
PBR(배),1.31,1.10,1.50,1.08,1.37,1.67,1.37
현금DPS(원),100,100,100,100,100,100,100
현금배당수익률,1.44,1.58,1.11,1.81,1.22,0.83,0.83
현금배당성향(%),26.32,15.49,34.68,-15.04,12.63,7.61,6.14
발행주식수(보통주),"24,200,000","24,200,000","24,200,000","24,200,000","24,200,000",,
