주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,283,"1,613","1,560","1,432","1,796"
영업이익,14,124,180,170,144
영업이익(발표기준),14,124,180,170,144
세전계속사업이익,2,209,326,180,222
당기순이익,2,162,247,133,165
  당기순이익(지배),2,162,247,133,165
  당기순이익(비지배),,,,,
자산총계,"3,486","3,690","3,858","3,958","4,206"
부채총계,252,289,289,290,501
자본총계,"3,234","3,401","3,569","3,669","3,705"
  자본총계(지배),"3,234","3,401","3,569","3,669","3,705"
  자본총계(비지배),,,,,
자본금,69,69,69,69,69
영업활동현금흐름,23,225,220,150,73
투자활동현금흐름,-20,-247,-64,-39,48
재무활동현금흐름,23,-4,-56,-52,-20
CAPEX,7,9,16,76,81
FCF,16,216,204,75,-8
이자발생부채,69,64,49,65,155
영업이익률,5.03,7.69,11.56,11.84,8.01
순이익률,0.71,10.03,15.84,9.31,9.21
ROE(%),,4.88,,3.69,4.49
ROA(%),,4.51,,3.41,4.05
부채비율,7.79,8.49,8.11,7.89,13.53
자본유보율,"4,659.60","4,857.53","5,171.35","5,283.72","5,368.31"
EPS(원),89,"1,178","1,799",971,"1,204"
PER(배),114.15,10.78,6.86,10.17,10.21
BPS(원),"23,552","24,771","25,991","26,718","26,982"
PBR(배),0.43,0.51,0.48,0.37,0.46
현금DPS(원),0,300,500,800,"1,000"
현금배당수익률,0.00,2.36,4.05,8.10,8.13
현금배당성향(%),0.00,25.46,27.79,82.38,83.03
발행주식수(보통주),"13,733,015","13,733,015","13,733,015","13,733,015","13,733,015"
