항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-297,-119,162,-871,-134,, , 
  당기순이익(지배)＜당기＞,-37.7,-16.9,23.7,-149.8,-29.5,, , 
  보통주수정평균발행주식수＜당기＞,"12,688,813","14,247,866","14,585,400","17,193,550","22,041,113","22,745,394", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,661,599,"1,155",573,"2,163",, , 
  자본총계(지배)＜당기＞,94.2,85.3,196.9,106.5,489.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,247,440","14,247,440","17,047,440","18,598,754","22,635,879","22,769,945", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-130,123,218,-29,349,, , 
  영업활동현금흐름＜당기＞,-16.5,17.6,31.8,-4.9,76.8,, , 
  보통주수정평균발행주식수＜당기＞,"12,688,813","14,247,866","14,585,400","17,193,550","22,041,113","22,745,394", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,854","3,092","3,281","2,033","1,727",, , 
  매출액＜당기＞,362.1,440.5,478.5,349.5,380.6,, , 
  보통주수정평균발행주식수＜당기＞,"12,688,813","14,247,866","14,585,400","17,193,550","22,041,113","22,745,394", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,105.85,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"1,925","1,170","17,200","7,680","8,270","8,400", , 
  EPS＜당기＞,-297,-119,162,-871,-134,, , 
펼치기 PBR,2.91,1.95,14.89,13.41,3.82,, , 
  보통주수정주가(기말)＜당기＞,"1,925","1,170","17,200","7,680","8,270","8,400", , 
  BPS＜당기＞,661,599,"1,155",573,"2,163",, , 
펼치기 PCR,-14.82,9.49,78.98,-269.08,23.73,, , 
  보통주수정주가(기말)＜당기＞,"1,925","1,170","17,200","7,680","8,270","8,400", , 
  CPS＜당기＞,-130,123,218,-29,349,, , 
펼치기 PSR,0.67,0.38,5.24,3.78,4.79,, , 
  보통주수정주가(기말)＜당기＞,"1,925","1,170","17,200","7,680","8,270","8,400", , 
  SPS＜당기＞,"2,854","3,092","3,281","2,033","1,727",, , 
펼치기 EV/EBITDA,117.88,13.24,81.70,-45.98,60.09,, , 
  EV＜당기＞,409.4,280.1,"2,456.3","1,543.7","1,691.3",, , 
  EBITDA＜당기＞,3.5,21.2,30.1,-33.6,28.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
