항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,525,447,584,641,30,10
  당기순이익(지배)＜당기＞,,,21.2,26.8,41.7,53.0, , 
  보통주수정평균발행주식수＜당기＞,"4,000,000","4,000,000","4,000,000","3,854,464","6,726,328","8,269,707", , 
  우선주수정평균발행주식수＜당기＞,0,0,"25,800","2,147,557","425,900",0, , 
펼치기 BPS,,,872,"1,314","5,261","5,877",300,12
  자본총계(지배)＜당기＞,,,51.3,84.3,435.1,486.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,000,000","4,000,000","4,000,000","4,095,507","8,269,707","8,269,707", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,"1,882,200","2,320,200",0,0, , 
펼치기 CPS,,,729,620,479,677,-23,41
  영업활동현금흐름＜당기＞,,,29.4,37.2,34.3,61.0, , 
  보통주수정평균발행주식수＜당기＞,"4,000,000","4,000,000","4,000,000","3,854,464","6,726,328","8,269,707", , 
  우선주수정평균발행주식수＜당기＞,0,0,"25,800","2,147,557","425,900",0, , 
펼치기 SPS,,,"5,887","6,560","5,857","6,179",-11,5
  매출액＜당기＞,,,237.0,393.8,418.9,511.0, , 
  보통주수정평균발행주식수＜당기＞,"4,000,000","4,000,000","4,000,000","3,854,464","6,726,328","8,269,707", , 
  우선주수정평균발행주식수＜당기＞,0,0,"25,800","2,147,557","425,900",0, , 
펼치기 PER,,,,,37.70,23.09, ,-38.75
  보통주수정주가(기말)＜당기＞,,,,,"22,000","14,800", , 
  EPS＜당기＞,,,525,447,584,641, , 
펼치기 PBR,,,0.00,0.00,4.18,2.52, ,-39.77
  보통주수정주가(기말)＜당기＞,,,,,"22,000","14,800", , 
  BPS＜당기＞,,,872,"1,314","5,261","5,877", , 
펼치기 PCR,,,,,45.92,21.86, ,-52.41
  보통주수정주가(기말)＜당기＞,,,,,"22,000","14,800", , 
  CPS＜당기＞,,,729,620,479,677, , 
펼치기 PSR,,,,,3.76,2.40, ,-36.23
  보통주수정주가(기말)＜당기＞,,,,,"22,000","14,800", , 
  SPS＜당기＞,,,"5,887","6,560","5,857","6,179", , 
펼치기 EV/EBITDA,,,,,30.53,14.30, ,-53.16
  EV＜당기＞,,,,,"1,520.4",857.9, , 
  EBITDA＜당기＞,,,22.6,44.2,49.8,60.0, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,0.00, , 
  현금배당성향(%),,,0.00,0.00,,, , 
