항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,392,649,-652,79,-12,,-116, 
  당기순이익(지배)＜당기＞,38.7,64.0,-66.3,8.4,-1.3,, , 
  보통주수정평균발행주식수＜당기＞,"9,863,089","9,863,089","10,167,020","10,656,896","10,656,896","10,656,896", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,422","5,984","5,134","5,234","5,259",,0, 
  자본총계(지배)＜당기＞,518.7,572.4,522.7,527.5,560.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,565,457","9,565,457","10,180,587","10,078,034","10,656,896","10,656,896", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-5,"-1,790","2,091",-110,"-2,254",,"-1,951", 
  영업활동현금흐름＜당기＞,-0.5,-176.6,212.6,-11.7,-240.2,, , 
  보통주수정평균발행주식수＜당기＞,"9,863,089","9,863,089","10,167,020","10,656,896","10,656,896","10,656,896", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,952","9,655","8,319","7,103","8,867",,25, 
  매출액＜당기＞,685.7,952.3,845.8,757.0,945.0,, , 
  보통주수정평균발행주식수＜당기＞,"9,863,089","9,863,089","10,167,020","10,656,896","10,656,896","10,656,896", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,10.35,6.40,N/A,40.51,N/A,,-872.36, 
  보통주수정주가(기말)＜당기＞,"4,060","4,155","3,655","3,200","3,865","4,030", , 
  EPS＜당기＞,392,649,-652,79,-12,, , 
펼치기 PBR,0.75,0.69,0.71,0.61,0.73,,20.21, 
  보통주수정주가(기말)＜당기＞,"4,060","4,155","3,655","3,200","3,865","4,030", , 
  BPS＜당기＞,"5,422","5,984","5,134","5,234","5,259",, , 
펼치기 PCR,-871.17,-2.32,1.75,-29.11,-1.71,,94.11, 
  보통주수정주가(기말)＜당기＞,"4,060","4,155","3,655","3,200","3,865","4,030", , 
  CPS＜당기＞,-5,"-1,790","2,091",-110,"-2,254",, , 
펼치기 PSR,0.58,0.43,0.44,0.45,0.44,,-3.25, 
  보통주수정주가(기말)＜당기＞,"4,060","4,155","3,655","3,200","3,865","4,030", , 
  SPS＜당기＞,"6,952","9,655","8,319","7,103","8,867",, , 
펼치기 EV/EBITDA,9.36,8.08,-25.88,-10.79,18.05,,267.22, 
  EV＜당기＞,560.3,828.8,712.5,517.8,753.5,, , 
  EBITDA＜당기＞,59.8,102.6,-27.5,-48.0,41.7,, , 
펼치기 DPS,80,120,,,,, , 
  현금DPS,80,120,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,1.97,2.89,,,,, , 
  현금배당성향(%),19.78,17.93,0.00,0.00,,, , 
