항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,-415,-809,-862,-682,,21, 
  당기순이익(지배)＜당기＞,,-24.2,-68.6,-82.3,-84.3,, , 
  보통주수정평균발행주식수＜당기＞,"3,134,605","5,020,000","5,270,900","9,017,231","12,368,298","12,430,912", , 
  우선주수정평균발행주식수＜당기＞,"13,365","805,875","3,212,540","528,988",0,0, , 
펼치기 BPS,,-354,398,"3,393","2,735",,-19, 
  자본총계(지배)＜당기＞,,-27.7,35.8,414.5,340.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,020,000","5,020,000","7,972,620","12,215,562","12,430,912","12,430,912", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"487,800","2,804,855","1,024,390",0,0,0, , 
펼치기 CPS,,-580,-419,-569,-608,,-7, 
  영업활동현금흐름＜당기＞,,-33.8,-35.5,-54.3,-75.2,, , 
  보통주수정평균발행주식수＜당기＞,"3,134,605","5,020,000","5,270,900","9,017,231","12,368,298","12,430,912", , 
  우선주수정평균발행주식수＜당기＞,"13,365","805,875","3,212,540","528,988",0,0, , 
펼치기 SPS,,239,174,260,579,,123, 
  매출액＜당기＞,,13.9,14.8,24.8,71.6,, , 
  보통주수정평균발행주식수＜당기＞,"3,134,605","5,020,000","5,270,900","9,017,231","12,368,298","12,430,912", , 
  우선주수정평균발행주식수＜당기＞,"13,365","805,875","3,212,540","528,988",0,0, , 
펼치기 PER,,,,N/A,N/A,,34.14, 
  보통주수정주가(기말)＜당기＞,,,,"31,100","16,200","10,600", , 
  EPS＜당기＞,,-415,-809,-862,-682,, , 
펼치기 PBR,,0.00,0.00,9.17,5.92,,-35.37, 
  보통주수정주가(기말)＜당기＞,,,,"31,100","16,200","10,600", , 
  BPS＜당기＞,,-354,398,"3,393","2,735",, , 
펼치기 PCR,,,,-54.69,-26.63,,51.30, 
  보통주수정주가(기말)＜당기＞,,,,"31,100","16,200","10,600", , 
  CPS＜당기＞,,-580,-419,-569,-608,, , 
펼치기 PSR,,,,119.75,27.97,,-76.64, 
  보통주수정주가(기말)＜당기＞,,,,"31,100","16,200","10,600", , 
  SPS＜당기＞,,239,174,260,579,, , 
펼치기 EV/EBITDA,,,,-63.28,-23.93,,62.19, 
  EV＜당기＞,,,,"3,451.5","1,842.8",, , 
  EBITDA＜당기＞,,-32.3,-36.3,-54.5,-77.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
