항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,138,"1,254","2,001",509,"1,175","1,433",131,22
  당기순이익(지배)＜당기＞,36.9,335.6,560.1,145.8,347.9,438.0, , 
  보통주수정평균발행주식수＜당기＞,"26,768,694","26,768,694","27,992,309","28,642,654","29,623,706","30,564,510", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,690","6,970","8,680","9,953","10,950","11,625",10,6
  자본총계(지배)＜당기＞,"1,465.9","1,795.7","2,480.4","2,839.0","3,134.1","3,475.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,764,090","25,764,090","28,576,868","28,523,705","28,621,214","29,892,632", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-147,"5,372","1,245",516,"1,607",,211, 
  영업활동현금흐름＜당기＞,-39.3,"1,438.0",348.5,147.9,476.0,595.0, , 
  보통주수정평균발행주식수＜당기＞,"26,768,694","26,768,694","27,992,309","28,642,654","29,623,706","30,564,510", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"35,496","39,536","43,180","50,663","57,498","62,456",13,9
  매출액＜당기＞,"9,501.8","10,583.3","12,087.1","14,511.1","17,033.1","19,089.5", , 
  보통주수정평균발행주식수＜당기＞,"26,768,694","26,768,694","27,992,309","28,642,654","29,623,706","30,564,510", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,40.85,4.03,3.77,14.56,6.48,7.26,-55.50,12.01
  보통주수정주가(기말)＜당기＞,"5,628","5,048","7,543","7,410","7,610","10,400", , 
  EPS＜당기＞,138,"1,254","2,001",509,"1,175","1,433", , 
펼치기 PBR,0.99,0.72,0.87,0.74,0.69,0.89,-6.65,28.73
  보통주수정주가(기말)＜당기＞,"5,628","5,048","7,543","7,410","7,610","10,400", , 
  BPS＜당기＞,"5,690","6,970","8,680","9,953","10,950","11,625", , 
펼치기 PCR,-38.34,0.94,6.06,14.35,4.74,,-67.00, 
  보통주수정주가(기말)＜당기＞,"5,628","5,048","7,543","7,410","7,610","10,400", , 
  CPS＜당기＞,-147,"5,372","1,245",516,"1,607",, , 
펼치기 PSR,0.16,0.13,0.17,0.15,0.13,0.17,-9.51,25.82
  보통주수정주가(기말)＜당기＞,"5,628","5,048","7,543","7,410","7,610","10,400", , 
  SPS＜당기＞,"35,496","39,536","43,180","50,663","57,498","62,456", , 
펼치기 EV/EBITDA,22.76,5.79,5.07,10.80,9.20,,-14.83, 
  EV＜당기＞,"4,118.1","3,363.4","5,237.8","8,118.3","8,094.0","9,138.1", , 
  EBITDA＜당기＞,181.0,580.7,"1,033.1",751.4,879.6,, , 
펼치기 DPS,0,0,0,255,350,,37, 
  현금DPS,0,0,0,245,350,, , 
  주식DPS,0,0,0,10,0,, , 
  현금배당수익률,0.00,0.00,0.00,3.31,4.60,3.37,1.29,-1.23
  현금배당성향(%),0.00,0.00,0.00,47.97,28.79,24.69,-19.17,-4.10
