항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,93,45,-41,"3,925","3,595",,-8, 
  당기순이익(지배)＜당기＞,5.8,3.0,-2.9,320.5,343.9,, , 
  보통주수정평균발행주식수＜당기＞,"5,697,504","6,060,910","6,293,786","7,793,352","9,567,180","9,567,180", , 
  우선주수정평균발행주식수＜당기＞,"475,284","590,892","732,697","372,292",0,0, , 
펼치기 BPS,643,"1,252",383,"6,406","9,083",,42, 
  자본총계(지배)＜당기＞,40.0,88.0,26.4,612.9,822.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,793,786","6,293,786","6,153,786","9,567,180","9,050,668","9,050,668", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"427,143","732,697","732,697",0,0,0, , 
펼치기 CPS,116,29,-11,"5,630","2,690",,-52, 
  영업활동현금흐름＜당기＞,7.2,1.9,-0.8,459.7,257.3,, , 
  보통주수정평균발행주식수＜당기＞,"5,697,504","6,060,910","6,293,786","7,793,352","9,567,180","9,567,180", , 
  우선주수정평균발행주식수＜당기＞,"475,284","590,892","732,697","372,292",0,0, , 
펼치기 SPS,395,471,562,"10,447","7,613",,-27, 
  매출액＜당기＞,24.4,31.3,39.5,853.0,728.3,, , 
  보통주수정평균발행주식수＜당기＞,"5,697,504","6,060,910","6,293,786","7,793,352","9,567,180","9,567,180", , 
  우선주수정평균발행주식수＜당기＞,"475,284","590,892","732,697","372,292",0,0, , 
펼치기 PER,38.47,70.22,N/A,3.49,4.39,,25.92, 
  보통주수정주가(기말)＜당기＞,"3,596","3,155","3,631","13,697","15,800","12,850", , 
  EPS＜당기＞,93,45,-41,"3,925","3,595",, , 
펼치기 PBR,5.59,2.52,9.48,2.14,1.74,,-18.63, 
  보통주수정주가(기말)＜당기＞,"3,596","3,155","3,631","13,697","15,800","12,850", , 
  BPS＜당기＞,643,"1,252",383,"6,406","9,083",, , 
펼치기 PCR,30.95,110.22,-316.61,2.43,5.87,,141.44, 
  보통주수정주가(기말)＜당기＞,"3,596","3,155","3,631","13,697","15,800","12,850", , 
  CPS＜당기＞,116,29,-11,"5,630","2,690",, , 
펼치기 PSR,9.10,6.70,6.46,1.31,2.08,,58.28, 
  보통주수정주가(기말)＜당기＞,"3,596","3,155","3,631","13,697","15,800","12,850", , 
  SPS＜당기＞,395,471,562,"10,447","7,613",, , 
펼치기 EV/EBITDA,23.80,36.11,55.29,1.62,2.54,,57.29, 
  EV＜당기＞,186.5,161.1,247.6,881.4,"1,076.0",, , 
  EBITDA＜당기＞,7.8,4.5,4.5,545.3,423.3,, , 
펼치기 DPS,0,0,0,350,400,,14, 
  현금DPS,0,0,0,350,400,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,2.56,2.53,,-0.02, 
  현금배당성향(%),0.00,0.00,0.00,10.45,10.75,,0.30, 
