항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-334,314,-143,-792,"1,795","1,825", ,2
  당기순이익(지배)＜당기＞,-24.5,23.2,-11.8,-73.8,170.3,174.0, , 
  보통주수정평균발행주식수＜당기＞,"7,338,242","7,392,140","8,305,059","9,318,240","9,488,026","9,531,760", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,425","1,730","4,143","3,358","5,139",, , 
  자본총계(지배)＜당기＞,105.3,127.9,386.1,307.1,477.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,392,140","7,392,140","9,318,240","9,147,202","9,281,760","9,274,760", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-382,86,-953,687,"-3,403",, , 
  영업활동현금흐름＜당기＞,-28.0,6.4,-79.2,64.0,-322.9,, , 
  보통주수정평균발행주식수＜당기＞,"7,338,242","7,392,140","8,305,059","9,318,240","9,488,026","9,531,760", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,742","6,283","3,400","2,371","6,204","11,663", ,88
  매출액＜당기＞,201.2,464.5,282.4,221.0,588.6,"1,111.7", , 
  보통주수정평균발행주식수＜당기＞,"7,338,242","7,392,140","8,305,059","9,318,240","9,488,026","9,531,760", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,N/A,N/A,16.74,13.72, ,-18.04
  보통주수정주가(기말)＜당기＞,,,"8,910","38,150","30,050","25,050", , 
  EPS＜당기＞,-334,314,-143,-792,"1,795","1,825", , 
펼치기 PBR,0.00,0.00,2.15,11.36,5.85,, , 
  보통주수정주가(기말)＜당기＞,,,"8,910","38,150","30,050","25,050", , 
  BPS＜당기＞,"1,425","1,730","4,143","3,358","5,139",, , 
펼치기 PCR,,,-9.35,55.54,-8.83,, , 
  보통주수정주가(기말)＜당기＞,,,"8,910","38,150","30,050","25,050", , 
  CPS＜당기＞,-382,86,-953,687,"-3,403",, , 
펼치기 PSR,,,2.62,16.09,4.84,2.15, ,-55.66
  보통주수정주가(기말)＜당기＞,,,"8,910","38,150","30,050","25,050", , 
  SPS＜당기＞,"2,742","6,283","3,400","2,371","6,204","11,663", , 
펼치기 EV/EBITDA,,,215.59,-564.72,37.20,, , 
  EV＜당기＞,,,602.2,"3,341.5","2,726.3",, , 
  EBITDA＜당기＞,-27.0,46.4,2.8,-5.9,73.3,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
