항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,6,, , 
  당기순이익(지배)＜당기＞,,,,,0.6,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"9,764,384","25,500,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"1,783",, , 
  자본총계(지배)＜당기＞,,,,,454.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"25,500,000","25,500,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,-4,, , 
  영업활동현금흐름＜당기＞,,,,,-0.4,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"9,764,384","25,500,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"9,764,384","25,500,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,320.49,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,070","2,145", , 
  EPS＜당기＞,,,,,6,, , 
펼치기 PBR,,,,,1.16,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,070","2,145", , 
  BPS＜당기＞,,,,,"1,783",, , 
펼치기 PCR,,,,,-571.71,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,070","2,145", , 
  CPS＜당기＞,,,,,-4,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,070","2,145", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,"-1,491.35",, , 
  EV＜당기＞,,,,,563.7,, , 
  EBITDA＜당기＞,,,,,-0.4,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
