항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-176,-168,-334,-334,-426,,-27, 
  당기순이익(지배)＜당기＞,-66.7,-85.3,-280.0,-437.5,-694.6,, , 
  보통주수정평균발행주식수＜당기＞,"37,937,500","50,650,803","83,910,085","130,949,365","163,081,873","217,525,464", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,424,919,905,766,501,,-35, 
  자본총계(지배)＜당기＞,161.0,684.5,"1,090.0","1,078.0",851.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"37,937,500","74,460,326","120,429,650","140,651,093","169,906,834","234,042,627", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-14,-91,-46,35,-107,,-404, 
  영업활동현금흐름＜당기＞,-5.3,-45.9,-38.9,46.2,-175.0,, , 
  보통주수정평균발행주식수＜당기＞,"37,937,500","50,650,803","83,910,085","130,949,365","163,081,873","217,525,464", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,608",908,536,333,354,,6, 
  매출액＜당기＞,610.2,460.0,449.5,435.9,577.3,, , 
  보통주수정평균발행주식수＜당기＞,"37,937,500","50,650,803","83,910,085","130,949,365","163,081,873","217,525,464", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,59.29, 
  보통주수정주가(기말)＜당기＞,"1,020","1,440","2,095","2,110","1,095","1,075", , 
  EPS＜당기＞,-176,-168,-334,-334,-426,, , 
펼치기 PBR,2.40,1.57,2.31,2.75,2.19,,-20.60, 
  보통주수정주가(기말)＜당기＞,"1,020","1,440","2,095","2,110","1,095","1,075", , 
  BPS＜당기＞,424,919,905,766,501,, , 
펼치기 PCR,-72.56,-15.89,-45.15,59.74,-10.21,,-117.08, 
  보통주수정주가(기말)＜당기＞,"1,020","1,440","2,095","2,110","1,095","1,075", , 
  CPS＜당기＞,-14,-91,-46,35,-107,, , 
펼치기 PSR,0.63,1.59,3.91,6.34,3.09,,-51.20, 
  보통주수정주가(기말)＜당기＞,"1,020","1,440","2,095","2,110","1,095","1,075", , 
  SPS＜당기＞,"1,608",908,536,333,354,, , 
펼치기 EV/EBITDA,-28.07,-8.81,"1,544.68",-54.58,-16.65,,69.50, 
  EV＜당기＞,473.2,920.6,"2,233.5","3,145.2","2,061.1",, , 
  EBITDA＜당기＞,-16.9,-104.5,1.4,-57.6,-123.8,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
