항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,232,330,44,220,359,,63, 
  당기순이익(지배)＜당기＞,52.8,75.1,10.0,50.1,81.6,, , 
  보통주수정평균발행주식수＜당기＞,"22,744,503","22,744,503","22,744,503","22,744,503","22,744,503",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"5,121","5,579","5,558","5,950","6,501",,9, 
  자본총계(지배)＜당기＞,952.5,"1,028.6","1,006.1","1,047.2","1,144.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"18,600,493","18,435,325","18,100,493","17,600,493","17,600,493","17,600,493", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,563","1,536",634,908,804,,-11, 
  영업활동현금흐름＜당기＞,355.5,349.2,144.2,206.5,182.8,, , 
  보통주수정평균발행주식수＜당기＞,"22,744,503","22,744,503","22,744,503","22,744,503","22,744,503",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"13,098","13,371","11,892","13,249","13,537",,2, 
  매출액＜당기＞,"2,979.1","3,041.1","2,704.8","3,013.4","3,079.0",, , 
  보통주수정평균발행주식수＜당기＞,"22,744,503","22,744,503","22,744,503","22,744,503","22,744,503",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,12.65,8.04,81.74,18.35,11.66,,-36.46, 
  보통주수정주가(기말)＜당기＞,"2,935","2,655","3,580","4,045","4,180","4,135", , 
  EPS＜당기＞,232,330,44,220,359,, , 
펼치기 PBR,0.57,0.48,0.64,0.68,0.64,,-5.42, 
  보통주수정주가(기말)＜당기＞,"2,935","2,655","3,580","4,045","4,180","4,135", , 
  BPS＜당기＞,"5,121","5,579","5,558","5,950","6,501",, , 
펼치기 PCR,1.88,1.73,5.65,4.46,5.20,,16.73, 
  보통주수정주가(기말)＜당기＞,"2,935","2,655","3,580","4,045","4,180","4,135", , 
  CPS＜당기＞,"1,563","1,536",634,908,804,, , 
펼치기 PSR,0.22,0.20,0.30,0.31,0.31,,1.14, 
  보통주수정주가(기말)＜당기＞,"2,935","2,655","3,580","4,045","4,180","4,135", , 
  SPS＜당기＞,"13,098","13,371","11,892","13,249","13,537",, , 
펼치기 EV/EBITDA,4.22,3.46,6.83,5.69,6.35,,11.64, 
  EV＜당기＞,"1,357.6","1,109.7","1,374.6","1,373.0","1,278.0",, , 
  EBITDA＜당기＞,321.8,320.6,201.3,241.4,201.3,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
