항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,755,-668,175,-114,153,,234, 
  당기순이익(지배)＜당기＞,54.0,-49.2,12.9,-8.4,11.3,, , 
  보통주수정평균발행주식수＜당기＞,"7,145,800","7,366,074","7,366,074","7,366,074","7,366,074",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"3,703","2,980","3,165","3,033","3,193",,5, 
  자본총계(지배)＜당기＞,272.7,219.5,233.1,223.4,235.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,366,074","7,366,074","7,366,074","7,366,074","7,366,074",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,209,-194,72,76,59,,-22, 
  영업활동현금흐름＜당기＞,15.0,-14.3,5.3,5.6,4.4,, , 
  보통주수정평균발행주식수＜당기＞,"7,145,800","7,366,074","7,366,074","7,366,074","7,366,074",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"2,114","1,822","1,800","1,374","1,494",,9, 
  매출액＜당기＞,151.1,134.2,132.6,101.2,110.1,, , 
  보통주수정평균발행주식수＜당기＞,"7,145,800","7,366,074","7,366,074","7,366,074","7,366,074",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,7.81,N/A,37.40,N/A,27.75,,165.81, 
  보통주수정주가(기말)＜당기＞,"5,900","4,605","6,530","4,810","4,240","3,325", , 
  EPS＜당기＞,755,-668,175,-114,153,, , 
펼치기 PBR,1.59,1.55,2.06,1.59,1.33,,-16.28, 
  보통주수정주가(기말)＜당기＞,"5,900","4,605","6,530","4,810","4,240","3,325", , 
  BPS＜당기＞,"3,703","2,980","3,165","3,033","3,193",, , 
펼치기 PCR,28.18,-23.76,90.72,63.13,71.38,,13.07, 
  보통주수정주가(기말)＜당기＞,"5,900","4,605","6,530","4,810","4,240","3,325", , 
  CPS＜당기＞,209,-194,72,76,59,, , 
펼치기 PSR,2.79,2.53,3.63,3.50,2.84,,-18.96, 
  보통주수정주가(기말)＜당기＞,"5,900","4,605","6,530","4,810","4,240","3,325", , 
  SPS＜당기＞,"2,114","1,822","1,800","1,374","1,494",, , 
펼치기 EV/EBITDA,-14.55,-15.36,30.03,-335.63,17.29,,105.15, 
  EV＜당기＞,209.2,163.3,304.6,239.7,156.9,, , 
  EBITDA＜당기＞,-14.4,-10.6,10.1,-0.7,9.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
