항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-96,-202,-66,413,-48,,-112, 
  당기순이익(지배)＜당기＞,-14.7,-31.1,-13.7,80.3,-9.9,, , 
  보통주수정평균발행주식수＜당기＞,"15,322,910","15,359,950","17,728,116","19,466,128","20,393,640","20,393,640", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,722,676,846,"1,673","1,619",,-3, 
  자본총계(지배)＜당기＞,110.6,108.3,152.5,333.9,323.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,322,910","16,034,108","18,031,288","19,964,163","19,964,163","19,964,163", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-116,-178,-129,231,165,,-29, 
  영업활동현금흐름＜당기＞,-17.7,-27.4,-22.8,45.1,33.7,, , 
  보통주수정평균발행주식수＜당기＞,"15,322,910","15,359,950","17,728,116","19,466,128","20,393,640","20,393,640", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,339,308,285,817,594,,-27, 
  매출액＜당기＞,51.9,47.3,50.5,159.0,121.1,, , 
  보통주수정평균발행주식수＜당기＞,"15,322,910","15,359,950","17,728,116","19,466,128","20,393,640","20,393,640", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,62.91,N/A,,-421.01, 
  보통주수정주가(기말)＜당기＞,"2,377","4,230","2,120","25,950","9,780","5,210", , 
  EPS＜당기＞,-96,-202,-66,413,-48,, , 
펼치기 PBR,3.29,6.26,2.51,15.51,6.04,,-61.06, 
  보통주수정주가(기말)＜당기＞,"2,377","4,230","2,120","25,950","9,780","5,210", , 
  BPS＜당기＞,722,676,846,"1,673","1,619",, , 
펼치기 PCR,-20.53,-23.73,-16.50,112.10,59.20,,-47.19, 
  보통주수정주가(기말)＜당기＞,"2,377","4,230","2,120","25,950","9,780","5,210", , 
  CPS＜당기＞,-116,-178,-129,231,165,, , 
펼치기 PSR,7.02,13.72,7.44,31.77,16.48,,-48.14, 
  보통주수정주가(기말)＜당기＞,"2,377","4,230","2,120","25,950","9,780","5,210", , 
  SPS＜당기＞,339,308,285,817,594,, , 
펼치기 EV/EBITDA,-22.94,-28.34,-19.66,200.38,-249.55,,-224.54, 
  EV＜당기＞,328.7,697.6,382.6,"5,165.1","1,859.4",, , 
  EBITDA＜당기＞,-14.3,-24.6,-19.5,25.8,-7.5,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,0.00,0.00,0.00,,,, , 
  현금배당성향(%),0.00,,0.00,0.00,,, , 
