항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,18,77,-123,100,159,,58, 
  당기순이익(지배)＜당기＞,4.2,21.5,-40.2,34.7,54.9,, , 
  보통주수정평균발행주식수＜당기＞,"22,804,138","27,876,093","32,697,172","34,621,218","34,621,218","34,621,218", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,88,215,477,573,723,,26, 
  자본총계(지배)＜당기＞,20.9,70.0,165.2,198.4,250.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"23,634,125","32,543,475","34,621,200","34,621,195","34,583,608","34,583,608", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-46,-97,-35,176,47,,-74, 
  영업활동현금흐름＜당기＞,-10.6,-27.2,-11.4,60.9,16.1,, , 
  보통주수정평균발행주식수＜당기＞,"22,804,138","27,876,093","32,697,172","34,621,218","34,621,218","34,621,218", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,441,783,923,740,"1,059",,43, 
  매출액＜당기＞,100.5,218.2,301.9,256.2,366.7,, , 
  보통주수정평균발행주식수＜당기＞,"22,804,138","27,876,093","32,697,172","34,621,218","34,621,218","34,621,218", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,,,N/A,12.83,18.45,,43.87, 
  보통주수정주가(기말)＜당기＞,,"1,177","1,202","1,287","2,925","2,150", , 
  EPS＜당기＞,18,77,-123,100,159,, , 
펼치기 PBR,,,2.52,2.25,4.05,,80.11, 
  보통주수정주가(기말)＜당기＞,,"1,177","1,202","1,287","2,925","2,150", , 
  BPS＜당기＞,88,215,477,573,723,, , 
펼치기 PCR,,,-34.47,7.32,62.86,,758.67, 
  보통주수정주가(기말)＜당기＞,,"1,177","1,202","1,287","2,925","2,150", , 
  CPS＜당기＞,-46,-97,-35,176,47,, , 
펼치기 PSR,,,1.30,1.74,2.76,,58.80, 
  보통주수정주가(기말)＜당기＞,,"1,177","1,202","1,287","2,925","2,150", , 
  SPS＜당기＞,441,783,923,740,"1,059",, , 
펼치기 EV/EBITDA,,,8.68,7.73,11.98,,54.95, 
  EV＜당기＞,,,380.6,367.5,883.6,, , 
  EBITDA＜당기＞,6.6,23.8,43.9,47.5,73.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.00,0.00,0.00,,, , 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
