항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,49,26,-140,-222,-398,,-79, 
  당기순이익(지배)＜당기＞,8.2,4.5,-27.3,-45.7,-85.3,, , 
  보통주수정평균발행주식수＜당기＞,"16,797,885","17,448,957","19,518,202","20,569,075","21,411,637","22,681,493", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,-20,126,621,419,356,,-15, 
  자본총계(지배)＜당기＞,-3.3,24.5,121.7,88.9,79.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"16,797,887","19,428,909","19,601,936","21,221,686","22,435,882","22,725,882", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,138,-91,-41,-239,-332,,-39, 
  영업활동현금흐름＜당기＞,23.2,-15.9,-7.9,-49.2,-71.2,, , 
  보통주수정평균발행주식수＜당기＞,"16,797,885","17,448,957","19,518,202","20,569,075","21,411,637","22,681,493", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,110","1,050","1,039",853,"2,271",,166, 
  매출액＜당기＞,186.4,183.1,202.8,175.5,486.3,, , 
  보통주수정평균발행주식수＜당기＞,"16,797,885","17,448,957","19,518,202","20,569,075","21,411,637","22,681,493", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,N/A,N/A,N/A,,-21.58, 
  보통주수정주가(기말)＜당기＞,,,"1,920","3,025","6,600","3,870", , 
  EPS＜당기＞,49,26,-140,-222,-398,, , 
펼치기 PBR,,,3.09,7.22,18.53,,156.56, 
  보통주수정주가(기말)＜당기＞,,,"1,920","3,025","6,600","3,870", , 
  BPS＜당기＞,-20,126,621,419,356,, , 
펼치기 PCR,,,-47.32,-12.65,-19.86,,-57.00, 
  보통주수정주가(기말)＜당기＞,,,"1,920","3,025","6,600","3,870", , 
  CPS＜당기＞,138,-91,-41,-239,-332,, , 
펼치기 PSR,,,1.85,3.54,2.91,,-18.03, 
  보통주수정주가(기말)＜당기＞,,,"1,920","3,025","6,600","3,870", , 
  SPS＜당기＞,"1,110","1,050","1,039",853,"2,271",, , 
펼치기 EV/EBITDA,,,28.23,-17.11,48.50,,383.52, 
  EV＜당기＞,,,403.1,788.4,"1,677.7",, , 
  EBITDA＜당기＞,21.9,9.5,14.3,-46.1,34.6,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.00,0.00,0.00,,, , 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
