항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-931,131,-385,-379,-345,,9, 
  당기순이익(지배)＜당기＞,-104.7,14.7,-43.3,-42.6,-39.0,, , 
  보통주수정평균발행주식수＜당기＞,"11,250,000","11,250,000","11,250,000","11,250,000","11,295,951","13,113,585", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,530","2,661","2,256","1,858","2,180",,17, 
  자본총계(지배)＜당기＞,275.0,289.3,245.3,202.0,277.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,872,359","10,872,359","10,872,359","10,872,359","12,735,944","12,735,944", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-421,-583,-3,62,-330,,-636, 
  영업활동현금흐름＜당기＞,-47.3,-65.6,-0.3,6.9,-37.3,, , 
  보통주수정평균발행주식수＜당기＞,"11,250,000","11,250,000","11,250,000","11,250,000","11,295,951","13,113,585", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,182","3,956","2,883","1,775","1,970",,11, 
  매출액＜당기＞,470.5,445.0,324.3,199.7,222.6,, , 
  보통주수정평균발행주식수＜당기＞,"11,250,000","11,250,000","11,250,000","11,250,000","11,295,951","13,113,585", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,22.14,N/A,N/A,N/A,,-243.53, 
  보통주수정주가(기말)＜당기＞,"3,785","2,890","2,330","2,800","8,770","9,250", , 
  EPS＜당기＞,-931,131,-385,-379,-345,, , 
펼치기 PBR,1.50,1.09,1.03,1.51,4.02,,166.97, 
  보통주수정주가(기말)＜당기＞,"3,785","2,890","2,330","2,800","8,770","9,250", , 
  BPS＜당기＞,"2,530","2,661","2,256","1,858","2,180",, , 
펼치기 PCR,-9.00,-4.96,-866.65,45.47,-26.57,,-158.43, 
  보통주수정주가(기말)＜당기＞,"3,785","2,890","2,330","2,800","8,770","9,250", , 
  CPS＜당기＞,-421,-583,-3,62,-330,, , 
펼치기 PSR,0.91,0.73,0.81,1.58,4.45,,182.13, 
  보통주수정주가(기말)＜당기＞,"3,785","2,890","2,330","2,800","8,770","9,250", , 
  SPS＜당기＞,"4,182","3,956","2,883","1,775","1,970",, , 
펼치기 EV/EBITDA,-3.63,14.39,-4.89,-7.96,-18.71,,-134.97, 
  EV＜당기＞,338.8,250.8,202.0,250.5,849.6,, , 
  EBITDA＜당기＞,-93.4,17.4,-41.3,-31.4,-45.4,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,,0.00,0.00,,, , 
