항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,19,827,778,285,"1,135",,297, 
  당기순이익(지배)＜당기＞,1.7,84.6,80.0,32.7,151.1,, , 
  보통주수정평균발행주식수＜당기＞,"9,128,297","10,227,464","10,283,096","11,444,571","13,319,301","13,329,832", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,907","4,813","5,494","11,141","12,300",,10, 
  자본총계(지배)＜당기＞,385.8,488.5,557.3,"1,464.4","1,623.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,874,785","10,150,530","10,142,256","13,143,781","13,199,015","13,199,015", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,324,-823,"1,739","1,060",109,,-90, 
  영업활동현금흐름＜당기＞,29.5,-84.2,178.8,121.3,14.5,, , 
  보통주수정평균발행주식수＜당기＞,"9,128,297","10,227,464","10,283,096","11,444,571","13,319,301","13,329,832", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,525","10,781","21,959","25,546","24,182",,-5, 
  매출액＜당기＞,321.8,"1,102.6","2,258.1","2,923.6","3,220.8",, , 
  보통주수정평균발행주식수＜당기＞,"9,128,297","10,227,464","10,283,096","11,444,571","13,319,301","13,329,832", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,489.07,10.85,21.97,106.66,21.24,,-80.09, 
  보통주수정주가(기말)＜당기＞,"9,089","8,979","17,105","30,450","24,100","16,800", , 
  EPS＜당기＞,19,827,778,285,"1,135",, , 
펼치기 PBR,2.33,1.87,3.11,2.73,1.96,,-28.31, 
  보통주수정주가(기말)＜당기＞,"9,089","8,979","17,105","30,450","24,100","16,800", , 
  BPS＜당기＞,"3,907","4,813","5,494","11,141","12,300",, , 
펼치기 PCR,28.08,-10.91,9.84,28.72,221.04,,669.69, 
  보통주수정주가(기말)＜당기＞,"9,089","8,979","17,105","30,450","24,100","16,800", , 
  CPS＜당기＞,324,-823,"1,739","1,060",109,, , 
펼치기 PSR,2.58,0.83,0.78,1.19,1.00,,-16.39, 
  보통주수정주가(기말)＜당기＞,"9,089","8,979","17,105","30,450","24,100","16,800", , 
  SPS＜당기＞,"3,525","10,781","21,959","25,546","24,182",, , 
펼치기 EV/EBITDA,680.98,6.45,11.23,22.28,18.90,,-15.19, 
  EV＜당기＞,669.1,806.0,"1,453.9","3,412.7","2,601.6",, , 
  EBITDA＜당기＞,1.0,125.0,129.4,153.1,137.7,, , 
펼치기 DPS,0,90,0,70,70,,0, 
  현금DPS,0,90,0,70,70,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,1.00,0.00,0.23,0.29,,0.06, 
  현금배당성향(%),0.00,10.78,0.00,28.16,6.11,,-22.05, 
