항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,505,365,186,318,763,, , 
  당기순이익(지배)＜당기＞,45.8,34.5,18.5,31.6,76.0,, , 
  보통주수정평균발행주식수＜당기＞,"9,075,661","9,467,273","9,960,000","9,960,000","9,960,000","9,960,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"7,126","8,536","8,673","8,880","9,528",, , 
  자본총계(지배)＜당기＞,646.8,850.0,863.7,875.5,929.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,075,658","9,958,687","9,958,687","9,858,687","9,758,687","9,758,687", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,833,603,833,835,"1,157",, , 
  영업활동현금흐름＜당기＞,75.6,57.1,83.0,83.2,115.3,, , 
  보통주수정평균발행주식수＜당기＞,"9,075,661","9,467,273","9,960,000","9,960,000","9,960,000","9,960,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,511","3,502","3,304","3,646","4,108",, , 
  매출액＜당기＞,318.7,331.5,329.0,363.2,409.1,, , 
  보통주수정평균발행주식수＜당기＞,"9,075,661","9,467,273","9,960,000","9,960,000","9,960,000","9,960,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,27.53,45.50,96.69,54.15,19.65,, , 
  보통주수정주가(기말)＜당기＞,"13,890","16,600","18,000","17,200","15,000","13,500", , 
  EPS＜당기＞,505,365,186,318,763,, , 
펼치기 PBR,1.95,1.94,2.08,1.94,1.57,, , 
  보통주수정주가(기말)＜당기＞,"13,890","16,600","18,000","17,200","15,000","13,500", , 
  BPS＜당기＞,"7,126","8,536","8,673","8,880","9,528",, , 
펼치기 PCR,16.67,27.53,21.60,20.60,12.96,, , 
  보통주수정주가(기말)＜당기＞,"13,890","16,600","18,000","17,200","15,000","13,500", , 
  CPS＜당기＞,833,603,833,835,"1,157",, , 
펼치기 PSR,3.96,4.74,5.45,4.72,3.65,, , 
  보통주수정주가(기말)＜당기＞,"13,890","16,600","18,000","17,200","15,000","13,500", , 
  SPS＜당기＞,"3,511","3,502","3,304","3,646","4,108",, , 
펼치기 EV/EBITDA,13.26,18.80,22.42,18.86,14.65,, , 
  EV＜당기＞,"1,190.2","1,424.5","1,592.8","1,588.1","1,398.2",, , 
  EBITDA＜당기＞,89.8,75.8,71.0,84.2,95.5,, , 
펼치기 DPS,40,50,50,70,100,, , 
  현금DPS,40,50,50,70,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.29,0.30,0.28,0.41,0.67,, , 
  현금배당성향(%),7.99,14.42,26.85,21.81,12.84,, , 
