항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-275,-328,-893,-261,-389,,-49, 
  당기순이익(지배)＜당기＞,-39.7,-50.7,-189.4,-72.2,-137.4,, , 
  보통주수정평균발행주식수＜당기＞,"14,404,356","15,437,796","21,195,813","27,649,898","35,327,183","38,234,020", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,755,803,641,718,"1,351",,88, 
  자본총계(지배)＜당기＞,108.8,152.3,158.4,225.1,516.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,404,356","18,966,931","24,718,580","31,369,426","38,234,020","38,234,020", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,114,-312,-138,-145,-103,,29, 
  영업활동현금흐름＜당기＞,16.4,-48.2,-29.2,-40.1,-36.5,, , 
  보통주수정평균발행주식수＜당기＞,"14,404,356","15,437,796","21,195,813","27,649,898","35,327,183","38,234,020", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,625,640,417,216,223,,3, 
  매출액＜당기＞,90.1,98.7,88.4,59.6,78.7,, , 
  보통주수정평균발행주식수＜당기＞,"14,404,356","15,437,796","21,195,813","27,649,898","35,327,183","38,234,020", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-33.71, 
  보통주수정주가(기말)＜당기＞,"3,335","3,630","3,210","3,300","6,570","5,850", , 
  EPS＜당기＞,-275,-328,-893,-261,-389,, , 
펼치기 PBR,4.42,4.52,5.01,4.60,4.86,,5.75, 
  보통주수정주가(기말)＜당기＞,"3,335","3,630","3,210","3,300","6,570","5,850", , 
  BPS＜당기＞,755,803,641,718,"1,351",, , 
펼치기 PCR,29.33,-11.63,-23.29,-22.76,-63.61,,-179.45, 
  보통주수정주가(기말)＜당기＞,"3,335","3,630","3,210","3,300","6,570","5,850", , 
  CPS＜당기＞,114,-312,-138,-145,-103,, , 
펼치기 PSR,5.33,5.68,7.70,15.30,29.49,,92.71, 
  보통주수정주가(기말)＜당기＞,"3,335","3,630","3,210","3,300","6,570","5,850", , 
  SPS＜당기＞,625,640,417,216,223,, , 
펼치기 EV/EBITDA,-117.74,-28.09,-17.94,-23.06,-61.10,,-165.02, 
  EV＜당기＞,453.8,733.0,787.4,"1,011.3","2,549.6",, , 
  EBITDA＜당기＞,-3.9,-26.1,-43.9,-43.9,-41.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
